raw_name,party_family,matched_rs_name,method
(Dr.) D. P. Vats (Retd.),BJP,D. P. Vats,exact
A. A. Rahim,Left,A. A. Rahim,exact
A. D. Singh,INC,Karan Singh,exact
A. K. Selvaraj,DMK,K. Selvaraj,exact
A. Vijayakumar,AIADMK,A. Vijayakumar,exact
A. W. Rabi Bernard,INC,A. W. Rabi Bernard,exact
A.U. Singh Deo,BJD,Ananga Udaya Singh Deo,exact
A.V. Swamy,BJP,Subramanian Swamy,exact
Aayanur Manjunatha,BJP,Aayanur Manjunath,exact
Abdul Wahab,Other,Abdul Wahab,exact
Abhishek Manu Singhvi,INC,Abhishek Singhvi,exact
Abir Ranjan Biswas,TMC,Abir Ranjan Biswas,exact
Aditya Prasad,BJP,Ravi Shankar Prasad,exact
Ahamed Hassan,TMC,Ahmed Hassan Imran,token_overlap
Ahmad Ashfaque Karim,RJD,Ashfaque Karim,exact
Ahmed Patel,INC,Rajmani Patel,exact
Ajay Makan,BJP,Ajay Sancheti,exact
Ajay Pratap Singh,JDU,Ramchandra Prasad Singh,exact
Ajay Sancheti,BJP,Ajay Sancheti,exact
Ajit Kumar Bhuyan,INC,Ajit Kumar Bhuyan,exact
Akhilesh Prasad Singh,INC,Akhilesh Prasad Singh,exact
Ali Anwar Ansari,BSP,Salim Ansari,exact
Alok Tiwari,NCP,Yogendra P. Tiwari,exact
Amar Pal Maurya,BJP,Amar Shankar Sable,exact
Amar Patnaik,BJD,Amar Patnaik,exact
Amar Shankar Sable,BJP,Amar Shankar Sable,exact
Amar Singh,Other,Amar Singh,exact
Ambeth Rajan,BSP,Ambeth Rajan,exact
Ambika Soni,INC,Ambika Soni,exact
Amee Yajnik,INC,Amee Yajnik,exact
Anand Sharma,INC,Anand Sharma,exact
Aneel Prasad Hegde,JDU,Anil Hegde,exact
Anil Agrawal,BJP,Naresh Chandra Agrawal,exact
Anil Baluni,BJP,Anil Baluni,exact
Anil Desai,Other,Anil Desai,exact
Anil Jain,BJP,Meghraj Jain,exact
Anil Kumar Sahani,RJD,Anil Kumar Sahani,exact
Anil Kumar Yadav Mandadi,RJD,Anil Kumar Sahani,exact
Anil Madhav Dave,BJP,Anil Madhav Dave,exact
Anil Sukhdeorao Bonde,RJD,Anil Kumar Sahani,exact
Anubhav Mohanty,BJD,Anubhav Mohanty,exact
Arun Singh,INC,Karan Singh,exact
Arvind Kumar Singh,SP,Arvind Kumar Singh,exact
Ashk Ali Tak,BJP,Ashk Ali Tak,exact
Ashok Bajpai,BJP,Ashok Gasti,exact
Ashok Kumar Mittal,BJP,Ashok Gasti,exact
Ashokrao Shankarrao Chavan,NCP,Vandana Chavan,exact
Ashwini Vaishnaw,BJP,Ashwini Vaishnaw,exact
Avinash Pande,BJP,Avinash Rai Khanna,exact
Avinash Rai Khanna,BJP,Avinash Rai Khanna,exact
Ayodhya Rami Reddy Alla,YSRCP,Ayodhya Rami Reddy Alla,exact
B. Lingaiah Yadav,JDU,Sharad Yadav,exact
B. Parthasaradhi Reddy,Other,D. Kupendra Reddy,exact
B.K. Hariprasad,INC,B. K. Hariprasad,exact
BHAGAT SINGH KOSHYARI,BJP,Bhagat Singh Koshyari,exact
Babubhai Jesangbhai Desai,Other,Anil Desai,exact
Baburam Nishad,SP,Vishambhar Prasad Nishad,exact
Baishnab Parida,BJD,Baishnab Charan Parida,exact
Balwinder Singh Bhunder,Other,Balwinder Singh Bhunder,exact
Banda Prakash,TRS,Banda Prakash,exact
Basawaraj Patil,INC,Rajni Patil,exact
Bashistha Narain Singh,JDU,Bashistha Narain Singh,exact
Bhagwat Karad,BJP,Bhagat Singh Koshyari,fuzzy_jw
Bhalchandra Mungekar,INC,Bhalchandra Mungekar,exact
Bhaskar Rao Nekkanti,INC,Rapolu Ananda Bhaskar,exact
Bhim Singh,INC,Karan Singh,exact
Bhubaneswar Kalita,INC,Bhubaneswar Kalita,exact
Bhupender Yadav,BJP,Bhupender Yadav,exact
Bhupinder Singh,BJD,Bhupinder Singh,exact
Bhushan Lal Jangde,BJP,Bhushan Lal Jangde,exact
Bikash Ranjan Bhattacharyya,Left,Bikash Ranjan Bhattacharyya,exact
