id,lok_no,session_no,ministry,party_family,topic_id
LS16-S10-STARRED-440,16,10,HEALTH AND FAMILY WELFARE,Unknown,11
LS16-S10-STARRED-439,16,10,DEFENCE,Unknown,-1
LS16-S10-STARRED-438,16,10,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)",Unknown,11
LS16-S10-STARRED-437,16,10,HEALTH AND FAMILY WELFARE,Unknown,-1
LS16-S10-STARRED-436,16,10,FINANCE,Unknown,-1
LS16-S10-STARRED-435,16,10,FINANCE,Unknown,-1
LS16-S10-STARRED-434,16,10,FINANCE,Unknown,12
LS16-S10-STARRED-433,16,10,FINANCE,Unknown,12
LS16-S10-STARRED-432,16,10,FINANCE,Unknown,19
LS16-S10-STARRED-431,16,10,HEALTH AND FAMILY WELFARE,Unknown,3
LS16-S10-STARRED-430,16,10,HEALTH AND FAMILY WELFARE,Unknown,11
LS16-S10-STARRED-429,16,10,DEFENCE,Unknown,-1
LS16-S10-STARRED-428,16,10,DEFENCE,Unknown,2
LS16-S10-STARRED-427,16,10,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)",Unknown,5
LS16-S10-STARRED-426,16,10,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)",Unknown,-1
LS16-S10-STARRED-425,16,10,DEFENCE,Unknown,-1
LS16-S10-STARRED-424,16,10,CORPORATE AFFAIRS,Unknown,-1
LS16-S10-STARRED-423,16,10,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)",Unknown,-1
LS16-S10-STARRED-422,16,10,WOMEN AND CHILD DEVELOPMENT,Unknown,5
LS16-S10-STARRED-421,16,10,FINANCE,Unknown,12
LS16-S10-STARRED-420,16,10,TEXTILES,Unknown,7
LS16-S10-STARRED-419,16,10,YOUTH AFFAIRS AND SPORTS,Unknown,17
LS16-S10-STARRED-418,16,10,POWER,Unknown,-1
LS16-S10-STARRED-417,16,10,CIVIL AVIATION,Unknown,2
LS16-S10-STARRED-416,16,10,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",Unknown,0
LS16-S10-STARRED-415,16,10,SHIPPING,Unknown,15
LS16-S10-STARRED-414,16,10,CIVIL AVIATION,Unknown,2
LS16-S10-STARRED-413,16,10,CIVIL AVIATION,Unknown,2
LS16-S10-STARRED-412,16,10,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",Unknown,0
LS16-S10-STARRED-411,16,10,CIVIL AVIATION,Unknown,2
LS16-S10-STARRED-410,16,10,COAL,Unknown,7
LS16-S10-STARRED-409,16,10,TEXTILES,Unknown,7
LS16-S10-STARRED-408,16,10,ROAD TRANSPORT AND HIGHWAYS,Unknown,1
LS16-S10-STARRED-407,16,10,CIVIL AVIATION,Unknown,2
LS16-S10-STARRED-406,16,10,PANCHAYATI RAJ,Unknown,-1
LS16-S10-STARRED-405,16,10,SHIPPING,Unknown,15
LS16-S10-STARRED-404,16,10,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",Unknown,-1
LS16-S10-STARRED-403,16,10,RURAL DEVELOPMENT,Unknown,-1
LS16-S10-STARRED-402,16,10,TEXTILES,Unknown,7
LS16-S10-STARRED-401,16,10,NEW AND RENEWABLE ENERGY,Unknown,3
LS16-S10-STARRED-400,16,10,LAW AND JUSTICE,Unknown,4
LS16-S10-STARRED-399,16,10,COMMUNICATIONS,Unknown,10
LS16-S10-STARRED-398,16,10,URBAN DEVELOPMENT,Unknown,0
LS16-S10-STARRED-397,16,10,COMMUNICATIONS,Unknown,-1
LS16-S10-STARRED-396,16,10,ATOMIC ENERGY,Unknown,-1
LS16-S10-STARRED-395,16,10,RAILWAYS,Unknown,1
LS16-S10-STARRED-394,16,10,DEVELOPMENT OF NORTH EASTERN REGION,Unknown,-1
LS16-S10-STARRED-393,16,10,HOUSING AND URBAN  POVERTY ALLEVIATION,Unknown,0
LS16-S10-STARRED-392,16,10,LAW AND JUSTICE,Unknown,13
LS16-S10-STARRED-391,16,10,RAILWAYS,Unknown,1
LS16-S10-STARRED-390,16,10,INFORMATION AND BROADCASTING,Unknown,0
LS16-S10-STARRED-389,16,10,RAILWAYS,Unknown,1
LS16-S10-STARRED-388,16,10,PLANNING,Unknown,-1
LS16-S10-STARRED-387,16,10,COMMUNICATIONS,Unknown,10
LS16-S10-STARRED-386,16,10,ELECTRONICS AND INFORMATION TECHNOLOGY,Unknown,10
LS16-S10-STARRED-385,16,10,INFORMATION AND BROADCASTING,Unknown,18
LS16-S10-STARRED-384,16,10,COMMUNICATIONS,Unknown,10
LS16-S10-STARRED-383,16,10,MINORITY AFFAIRS,Unknown,-1
LS16-S10-STARRED-382,16,10,EXTERNAL AFFAIRS,Unknown,21
LS16-S10-STARRED-381,16,10,EXTERNAL AFFAIRS,Unknown,4
LS16-S10-STARRED-380,16,10,COMMERCE AND INDUSTRY,Unknown,24
LS16-S10-STARRED-379,16,10,HUMAN RESOURCE DEVELOPMENT,Unknown,0
LS16-S10-STARRED-378,16,10,COMMERCE AND INDUSTRY,Unknown,2
LS16-S10-STARRED-377,16,10,PETROLEUM AND NATURAL GAS,Unknown,3
LS16-S10-STARRED-376,16,10,COMMERCE AND INDUSTRY,Unknown,24
LS16-S10-STARRED-375,16,10,TRIBAL AFFAIRS,Unknown,-1
LS16-S10-STARRED-374,16,10,HUMAN RESOURCE DEVELOPMENT,Unknown,4
LS16-S10-STARRED-373,16,10,PETROLEUM AND NATURAL GAS,Unknown,3
LS16-S10-STARRED-372,16,10,COMMERCE AND INDUSTRY,Unknown,24
LS16-S10-STARRED-371,16,10,CULTURE,Unknown,6
LS16-S10-STARRED-370,16,10,LABOUR AND EMPLOYMENT,Unknown,5
LS16-S10-STARRED-369,16,10,STEEL,Unknown,7
LS16-S10-STARRED-368,16,10,TOURISM,Unknown,6
LS16-S10-STARRED-367,16,10,LABOUR AND EMPLOYMENT,Unknown,5
LS16-S10-STARRED-366,16,10,HUMAN RESOURCE DEVELOPMENT,Unknown,4
LS16-S10-STARRED-365,16,10,PETROLEUM AND NATURAL GAS,Unknown,3
LS16-S10-STARRED-364,16,10,COMMERCE AND INDUSTRY,Unknown,2
LS16-S10-STARRED-363,16,10,CULTURE,Unknown,0
LS16-S10-STARRED-362,16,10,TRIBAL AFFAIRS,Unknown,-1
LS16-S10-STARRED-361,16,10,"MICRO,SMALL AND MEDIUM ENTERPRISES",Unknown,-1
LS16-S10-STARRED-360,16,10,DEFENCE,Unknown,2
LS16-S10-STARRED-359,16,10,HEALTH AND FAMILY WELFARE,Unknown,-1
LS16-S10-STARRED-358,16,10,FINANCE,Unknown,2
LS16-S10-STARRED-357,16,10,FINANCE,Unknown,-1
LS16-S10-STARRED-356,16,10,CORPORATE AFFAIRS,Unknown,-1
LS16-S10-STARRED-355,16,10,DEFENCE,Unknown,1
LS16-S10-STARRED-354,16,10,DEFENCE,Unknown,2
LS16-S10-STARRED-353,16,10,FINANCE,Unknown,12
LS16-S10-STARRED-352,16,10,DEFENCE,Unknown,-1
LS16-S10-STARRED-351,16,10,FINANCE,Unknown,-1
LS16-S10-STARRED-350,16,10,CORPORATE AFFAIRS,Unknown,-1
LS16-S10-STARRED-349,16,10,FINANCE,Unknown,19
LS16-S10-STARRED-348,16,10,CORPORATE AFFAIRS,Unknown,-1
LS16-S10-STARRED-347,16,10,DEFENCE,Unknown,2
LS16-S10-STARRED-346,16,10,FINANCE,Unknown,-1
LS16-S10-STARRED-345,16,10,FINANCE,Unknown,12
LS16-S10-STARRED-344,16,10,FINANCE,Unknown,12
LS16-S10-STARRED-343,16,10,DEFENCE,Unknown,-1
LS16-S10-STARRED-342,16,10,HEALTH AND FAMILY WELFARE,Unknown,-1
LS16-S10-STARRED-341,16,10,FINANCE,Unknown,-1
LS16-S10-STARRED-340,16,10,CIVIL AVIATION,Unknown,2
LS16-S10-STARRED-339,16,10,TEXTILES,Unknown,7
LS16-S10-STARRED-338,16,10,TEXTILES,Unknown,7
LS16-S10-STARRED-337,16,10,YOUTH AFFAIRS AND SPORTS,Unknown,-1
LS16-S10-STARRED-336,16,10,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",Unknown,0
LS16-S10-STARRED-335,16,10,ROAD TRANSPORT AND HIGHWAYS,Unknown,1
LS16-S10-STARRED-334,16,10,DRINKING WATER AND SANITATION,Unknown,0
LS16-S10-STARRED-333,16,10,TEXTILES,Unknown,7
LS16-S10-STARRED-332,16,10,SHIPPING,Unknown,16
LS16-S10-STARRED-331,16,10,MINES,Unknown,7
LS16-S10-STARRED-330,16,10,MINES,Unknown,6
LS16-S10-STARRED-329,16,10,COAL,Unknown,7
LS16-S10-STARRED-328,16,10,ROAD TRANSPORT AND HIGHWAYS,Unknown,-1
LS16-S10-STARRED-327,16,10,COAL,Unknown,23
LS16-S10-STARRED-326,16,10,RURAL DEVELOPMENT,Unknown,0
LS16-S10-STARRED-325,16,10,POWER,Unknown,3
LS16-S10-STARRED-324,16,10,ROAD TRANSPORT AND HIGHWAYS,Unknown,-1
LS16-S10-STARRED-323,16,10,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",Unknown,0
LS16-S10-STARRED-322,16,10,NEW AND RENEWABLE ENERGY,Unknown,3
LS16-S10-STARRED-321,16,10,CIVIL AVIATION,Unknown,2
LS16-S10-STARRED-320,16,10,RAILWAYS,Unknown,1
LS16-S10-STARRED-319,16,10,INFORMATION AND BROADCASTING,Unknown,10
LS16-S10-STARRED-318,16,10,RAILWAYS,Unknown,1
LS16-S10-STARRED-317,16,10,RAILWAYS,Unknown,1
LS16-S10-STARRED-316,16,10,RAILWAYS,Unknown,1
LS16-S10-STARRED-315,16,10,HOUSING AND URBAN  POVERTY ALLEVIATION,Unknown,0
LS16-S10-STARRED-314,16,10,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,Unknown,-1
LS16-S10-STARRED-313,16,10,RAILWAYS,Unknown,1
LS16-S10-STARRED-312,16,10,LAW AND JUSTICE,Unknown,13
LS16-S10-STARRED-311,16,10,MINORITY AFFAIRS,Unknown,-1
LS16-S10-STARRED-310,16,10,URBAN DEVELOPMENT,Unknown,-1
LS16-S10-STARRED-309,16,10,EXTERNAL AFFAIRS,Unknown,-1
LS16-S10-STARRED-308,16,10,RAILWAYS,Unknown,1
LS16-S10-STARRED-307,16,10,COMMUNICATIONS,Unknown,10
LS16-S10-STARRED-306,16,10,RAILWAYS,Unknown,1
LS16-S10-STARRED-305,16,10,PLANNING,Unknown,5
LS16-S10-STARRED-304,16,10,HOUSING AND URBAN  POVERTY ALLEVIATION,Unknown,0
LS16-S10-STARRED-303,16,10,LAW AND JUSTICE,Unknown,-1
LS16-S10-STARRED-302,16,10,EXTERNAL AFFAIRS,Unknown,-1
LS16-S10-STARRED-301,16,10,PLANNING,Unknown,-1
LS16-S10-STARRED-300,16,10,"ENVIRONMENT,  FORESTS AND CLIMATE CHANGE",Unknown,9
LS16-S10-STARRED-299,16,10,AGRICULTURE AND FARMERS WELFARE,Unknown,-1
LS16-S10-STARRED-298,16,10,SOCIAL JUSTICE AND EMPOWERMENT,Unknown,5
LS16-S10-STARRED-297,16,10,AGRICULTURE AND FARMERS WELFARE,Unknown,15
LS16-S10-STARRED-296,16,10,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Unknown,0
LS16-S10-STARRED-295,16,10,AGRICULTURE AND FARMERS WELFARE,Unknown,0
LS16-S10-STARRED-294,16,10,HOME AFFAIRS,Unknown,21
LS16-S10-STARRED-293,16,10,"ENVIRONMENT,  FORESTS AND CLIMATE CHANGE",Unknown,9
LS16-S10-STARRED-292,16,10,AGRICULTURE AND FARMERS WELFARE,Unknown,-1
LS16-S10-STARRED-291,16,10,"ENVIRONMENT,  FORESTS AND CLIMATE CHANGE",Unknown,9
LS16-S10-STARRED-290,16,10,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Unknown,0
LS16-S10-STARRED-289,16,10,"ENVIRONMENT,  FORESTS AND CLIMATE CHANGE",Unknown,9
LS16-S10-STARRED-288,16,10,HOME AFFAIRS,Unknown,0
LS16-S10-STARRED-287,16,10,HOME AFFAIRS,Unknown,12
