party_family,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
AAP,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJP,0.09975308641975308,0.0962962962962963,0.08296296296296296,0.06962962962962962,0.06666666666666667,0.06962962962962962,0.04987654320987654,0.05037037037037037,0.03950617283950617,0.046419753086419754,0.04296296296296296,0.03308641975308642,0.028641975308641977,0.02567901234567901,0.021728395061728394,0.023209876543209877,0.02567901234567901,0.02123456790123457,0.021728395061728394,0.014320987654320988,0.012345679012345678,0.011851851851851851,0.012345679012345678,0.008395061728395062,0.007901234567901235,0.0049382716049382715,0.002962962962962963,0.0049382716049382715,0.0049382716049382715
BSP,0.125,0.08333333333333333,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0
DMK,0.15873015873015872,0.047619047619047616,0.19047619047619047,0.031746031746031744,0.047619047619047616,0.07936507936507936,0.06349206349206349,0.031746031746031744,0.06349206349206349,0.015873015873015872,0.031746031746031744,0.015873015873015872,0.047619047619047616,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872
INC,0.07169811320754717,0.07924528301886792,0.07547169811320754,0.07924528301886792,0.052830188679245285,0.05660377358490566,0.07358490566037736,0.03962264150943396,0.04905660377358491,0.03207547169811321,0.03018867924528302,0.035849056603773584,0.026415094339622643,0.026415094339622643,0.02830188679245283,0.03018867924528302,0.016981132075471698,0.033962264150943396,0.022641509433962263,0.016981132075471698,0.024528301886792454,0.016981132075471698,0.011320754716981131,0.022641509433962263,0.005660377358490566,0.013207547169811321,0.01509433962264151,0.007547169811320755,0.005660377358490566
Independent,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JDU,0.11450381679389313,0.0916030534351145,0.06870229007633588,0.04580152671755725,0.1450381679389313,0.0916030534351145,0.06870229007633588,0.03816793893129771,0.03816793893129771,0.03816793893129771,0.03816793893129771,0.04580152671755725,0.030534351145038167,0.022900763358778626,0.03816793893129771,0.007633587786259542,0.007633587786259542,0.0,0.015267175572519083,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.0,0.0,0.015267175572519083,0.0,0.0
Left,0.03773584905660377,0.1509433962264151,0.03773584905660377,0.05660377358490566,0.0,0.07547169811320754,0.05660377358490566,0.018867924528301886,0.11320754716981132,0.03773584905660377,0.018867924528301886,0.07547169811320754,0.05660377358490566,0.0,0.0,0.09433962264150944,0.0,0.0,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886,0.03773584905660377,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.0
RJD,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regional,0.12658227848101267,0.10126582278481013,0.0759493670886076,0.06835443037974684,0.053164556962025315,0.043037974683544304,0.05063291139240506,0.05569620253164557,0.04050632911392405,0.035443037974683546,0.030379746835443037,0.030379746835443037,0.030379746835443037,0.043037974683544304,0.027848101265822784,0.020253164556962026,0.02531645569620253,0.020253164556962026,0.020253164556962026,0.010126582278481013,0.015189873417721518,0.010126582278481013,0.02278481012658228,0.007594936708860759,0.007594936708860759,0.002531645569620253,0.007594936708860759,0.007594936708860759,0.010126582278481013
SP,0.1,0.05,0.2,0.05,0.1,0.1,0.0,0.0,0.05,0.0,0.05,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shiv Sena,0.10569105691056911,0.10569105691056911,0.04878048780487805,0.08130081300813008,0.08943089430894309,0.0975609756097561,0.04878048780487805,0.056910569105691054,0.008130081300813009,0.032520325203252036,0.056910569105691054,0.04065040650406504,0.024390243902439025,0.016260162601626018,0.024390243902439025,0.032520325203252036,0.032520325203252036,0.008130081300813009,0.024390243902439025,0.008130081300813009,0.0,0.0,0.024390243902439025,0.0,0.008130081300813009,0.0,0.016260162601626018,0.0,0.008130081300813009
TDP,0.11688311688311688,0.09090909090909091,0.06493506493506493,0.03896103896103896,0.1038961038961039,0.05194805194805195,0.09090909090909091,0.06493506493506493,0.05194805194805195,0.012987012987012988,0.06493506493506493,0.025974025974025976,0.025974025974025976,0.0,0.05194805194805195,0.012987012987012988,0.0,0.0,0.0,0.025974025974025976,0.0,0.03896103896103896,0.0,0.012987012987012988,0.012987012987012988,0.025974025974025976,0.0,0.012987012987012988,0.0
