party_family,gmm_cluster,PC1,PC2
AAP,1,-0.06398428954014361,0.12340020612576802
BJP,2,-0.006813757140162557,-0.01083296982078146
BSP,3,-0.01617679904920939,-0.01892849028269759
DMK,1,0.006353952294731357,-0.010339911169793646
INC,2,-0.006902641295535644,-0.0112157991433703
Independent,1,0.14408009936618862,0.04474410132064398
JDU,2,-0.0064553060367899895,-0.015064572027579643
Left,2,-0.003401863061784648,-0.013269570910984919
RJD,4,-0.0065086262247031025,-0.013660525011390038
Regional,2,-0.006839928392752443,-0.010787669341782026
SP,5,-0.011767385817430785,-0.021554737324166188
Shiv Sena,2,-0.008366806902262174,-0.013010720915278003
TDP,6,-0.013216648200145342,-0.02947934149858788
