mp1,mp2,party1,party2,weight,cross_party,lok_nos
SANJAY SHAMRAO DHOTRE,BHARTRUHARI MAHTAB,BJP,BJP,9,FALSE,16
BHOLA SINGH,VINOD KUMAR SONKAR,BJP,BJP,8,FALSE,17
BHARTRUHARI MAHTAB,SANJAY SHAMRAO DHOTRE,BJP,BJP,7,FALSE,16
BHARAT SINGH,MANSHANKAR NINAMA,BJP,BJP,6,FALSE,16
JANARDAN MISHRA,RODMAL NAGAR,BJP,BJP,6,FALSE,17
JUGAL KISHORE SHARMA,RITI PATHAK,BJP,BJP,5,FALSE,"16,17"
LAXMI NARAYAN YADAV,RAM TAHAL CHOUDHARY,BJP,BJP,5,FALSE,16
RAMA DEVI,LAXMI NARAYAN YADAV,BJP,BJP,5,FALSE,16
RAMA DEVI,RAM TAHAL CHOUDHARY,BJP,BJP,5,FALSE,16
RITI PATHAK,JUGAL KISHORE SHARMA,BJP,BJP,5,FALSE,"16,17"
SUMEDHANAND SARASWATI,RANJEETA KOLI,BJP,BJP,5,FALSE,17
SUMEDHANAND SARASWATI,SANTOSH AHLAWAT,BJP,BJP,5,FALSE,16
BHOLA SINGH,SUKANTA MAJUMDAR,BJP,BJP,4,FALSE,17
BIDYUT BARAN MAHATO,SUDHEER GUPTA,BJP,BJP,4,FALSE,"16,17"
C.N. ANNADURAI,MANJULATA MANDAL,DMK,Regional,4,TRUE,17
GEORGE BAKER,RICHARD HAY,BJP,BJP,4,FALSE,16
JASKAUR MEENA,NIHAL CHAND CHAUHAN,BJP,BJP,4,FALSE,17
KRISHNA PAL SINGH YADAV,RITA BAHUGUNA JOSHI,BJP,BJP,4,FALSE,17
LAXMAN GILUWA,RAM TAHAL CHOUDHARY,BJP,BJP,4,FALSE,16
MANJULATA MANDAL,C.N. ANNADURAI,Regional,DMK,4,TRUE,17
PUSHPENDRA SINGH CHANDEL,MALA RAJYA LAXMI SHAH,BJP,BJP,4,FALSE,17
RANJEETA KOLI,SUMEDHANAND SARASWATI,BJP,BJP,4,FALSE,17
SANGEETA KUMARI SINGH DEO,JAYANTA KUMAR ROY,BJP,BJP,4,FALSE,17
SANGEETA KUMARI SINGH DEO,SUKANTA MAJUMDAR,BJP,BJP,4,FALSE,17
SANJAY SHAMRAO DHOTRE,SATYA PAL SINGH,BJP,BJP,4,FALSE,16
SANTOSH AHLAWAT,SUMEDHANAND SARASWATI,BJP,BJP,4,FALSE,16
SATYA PAL SINGH,SANJAY SHAMRAO DHOTRE,BJP,BJP,4,FALSE,16
UPENDRA SINGH RAWAT,KAUSHAL KISHORE,BJP,BJP,4,FALSE,17
BIDYUT BARAN MAHATO,NARANBHAI KACHHADIA,BJP,BJP,3,FALSE,16
JAYANTA KUMAR ROY,SANGEETA KUMARI SINGH DEO,BJP,BJP,3,FALSE,17
KRISHNA PAL SINGH YADAV,UNMESH BHAIYYASAHEB PATIL,BJP,BJP,3,FALSE,17
KRUPAL BALAJI TUMANE,SANJAY HARIBHAU JADHAV,Shiv Sena,Shiv Sena,3,FALSE,17
LAXMAN GILUWA,RAMA DEVI,BJP,BJP,3,FALSE,16
MANOJ RAJORIA,RANJEETA KOLI,BJP,BJP,3,FALSE,17
MANOJ RAJORIA,SUMEDHANAND SARASWATI,BJP,BJP,3,FALSE,17
NIHAL CHAND CHAUHAN,JASKAUR MEENA,BJP,BJP,3,FALSE,17
RAM TAHAL CHOUDHARY,PRATAPRAO GANPATRAO JADHAV,BJP,Shiv Sena,3,TRUE,16
RAMA DEVI,GIRIDHARI YADAV,BJP,JDU,3,TRUE,17
RANJEET RANJAN,RAJESH RANJAN (PAPPU YADAV),INC,RJD,3,TRUE,16
RAVINDRA KUMAR PANDEY,NISHIKANT DUBEY,BJP,BJP,3,FALSE,16
REBATI TRIPURA,VIJAY KUMAR DUBEY,BJP,BJP,3,FALSE,17
SANJAY HARIBHAU JADHAV,KRUPAL BALAJI TUMANE,Shiv Sena,Shiv Sena,3,FALSE,17
SUKANTA MAJUMDAR,SANGEETA KUMARI SINGH DEO,BJP,BJP,3,FALSE,17
SUKANTA MAJUMDAR,VINOD KUMAR SONKAR,BJP,BJP,3,FALSE,17
SUNIL KUMAR PINTU,JUGAL KISHORE SHARMA,JDU,BJP,3,TRUE,17
A. CHELLAKUMAR,AMAR SINGH,INC,INC,2,FALSE,17
BHARAT SINGH,VIJAY KUMAR HANSDAK,BJP,Regional,2,TRUE,16
