mp,party,constituency,degree,strength,betweenness
DR. BHOLA SINGH,BJP,Bulandshahr (SC),15,15,0.4331753870011334
SHRI NABA CHARAN MAJHI,BJP,Mayurbhanj (ST),22,22,0.18169996784272657
RAMESH CHANDER KAUSHIK,BJP,Sonipat,25,34,0.1368790261440366
SMT. KAMALJEET SEHRAWAT,BJP,West Delhi,13,13,0.09712375468997998
RAVNEET SINGH,BJP,Ludhiana,10,13,0.06054743122110454
SMT. KAMLESH JANGDE,BJP,Janjgir–Champa (SC),11,12,0.06021413086509371
VIJAYSINH MOHITE PATIL,NCP,Madha,13,21,0.05136665720340977
KAVITHA KALVAKUNTLA,Regional,Nizamabad,8,8,0.050325939609858684
PREM SINGH CHANDUMAJRA,Regional,Anandpur Sahib,14,16,0.05011312401748894
SHRI SHANKAR LALWANI,BJP,Indore,8,8,0.04859986917639345
NISHIKANT DUBEY,BJP,Godda,31,40,0.04588373426712628
SUNIL BALIRAM GAIKWAD,BJP,Latur (SC),15,24,0.04476704006370284
SHRI DILIP SAIKIA,BJP,Mangaldoi,7,7,0.03498749377293317
MANOJ RAJORIA,BJP,Karauli–Dholpur (SC),30,35,0.034051087985596466
DR. HEMANT VISHNU SAVARA,BJP,Palghar (ST),7,7,0.03184445628494391
SMT. SAJDA AHMED,TMC,Uluberia,4,4,0.031104782412733564
SMT. SMITA UDAY WAGH,Regional,Jalgaon,8,10,0.029996077989555097
RAMA DEVI,BJP,Sheohar,34,52,0.02990418739288216
SHRI BALYA MAMA SURESH GOPINATH MHATRE,NCP,Bhiwandi,3,3,0.02754042998603622
VISHNU DAYAL RAM,BJP,Palamau (SC),21,21,0.027522992596427126
RAMDAS CHANDRABHANJI TADAS,BJP,Wardha,25,32,0.027407140923954708
DR. AMAR SINGH,INC,Fatehgarh Sahib (SC),9,9,0.02727693997236363
JYOTI DHURVE,BJP,Betul (ST),5,5,0.02714002287886496
SHRI BALWANT BASWANT WANKHADE,INC,Amravati (SC),5,5,0.026790060772147115
SMT. MAHIMA KUMARI MEWAR,BJP,Rajsamand,5,5,0.026536070707189628
SMT. APARAJITA SARANGI,BJP,Bhubaneswar,10,11,0.02649538105215485
SHRI RAVINDRA SHUKLA ALIAS RAVI KISHAN,BJP,Secunderabad,13,15,0.025231282763917798
SHRI PRAVEEN PATEL,BJP,Phulpur,11,11,0.024859711628128577
SHRI P V MIDHUN REDDY,YSRCP,Rajampet,4,4,0.024755326996261273
SHRI DHARAMBIR SINGH,BJP,Bhiwani–Mahendragarh,6,6,0.024134575398063084
SHRI KRISHNA PRASAD TENNETI,TDP,Bapatla (SC),6,6,0.024002794509539568
MIDHUN REDDY,YSRCP,Rajampet,20,24,0.02370557729836868
VINAYAK BHAURAO RAUT,Shiv Sena,Ratnagiri–Sindhudurg,43,76,0.02368123452262585
KAMLA DEVI PATLE,BJP,Janjgir-Champa (SC),5,5,0.023565648717908807
SHRI RAMASAHAYAM RAGHURAM REDDY,INC,Khammam,3,3,0.023534263501030762
SHRI P P CHAUDHARY,BJP,Pali,8,8,0.02326977877917706
