primary_norm,cosine,party_family,lok_no,n_mps
A.T. (NANA) PATIL,0.08835232269623043,BJP,16,161
ABHISHEK SINGH,0.08698784723750999,BJP,16,161
ADVOCATE NARENDRA KESHAV SAWAIKAR,0.10527246892127794,BJP,16,161
AJAY NISHAD,0.08255878494476562,BJP,16,161
ANANT KUMAR DATTATREYA HEGDE,0.12425715819829748,BJP,16,161
ANJU BALA,0.10122908195309817,BJP,16,161
ANOOP MISHRA,0.07107944914440578,BJP,16,161
ANSHUL VERMA,0.08781820040939814,BJP,16,161
ANURAG SINGH THAKUR,0.08822239687890648,BJP,16,161
ARJUN RAM MEGHWAL,0.0798744139724201,BJP,16,161
ARJUNLAL MEENA,0.08066217734564059,BJP,16,161
ASHOK MAHADEORAO NETE,0.10234239760246948,BJP,16,161
ASHWINI KUMAR,0.09350895426522614,BJP,16,161
ASHWINI KUMAR CHOUBEY,0.08536961057307534,BJP,16,161
B. S. YEDDYURAPPA,0.06579354154417293,BJP,16,161
B. SREERAMULU,0.09258082827566931,BJP,16,161
BANSHILAL MAHTO,0.09225689545272775,BJP,16,161
BHAGIRATH PRASAD,0.09586098317441866,BJP,16,161
BHAIRON PRASAD MISHRA,0.09110168553665961,BJP,16,161
BHANU PRATAP SINGH VERMA,0.07355603370854745,BJP,16,161
BHARAT SINGH,0.08008366092794117,BJP,16,161
BHARATI DHIRUBHAI SHIYAL,0.09229075689542696,BJP,16,161
BHOLA SINGH,0.09174598229943462,BJP,16,161
BIDYUT BARAN MAHATO,0.0964857705139415,BJP,16,161
BODH SINGH BHAGAT,0.10911114523693204,BJP,16,161
C.R. CHAUDHARY,0.08852199782004398,BJP,16,161
CHANDRA PRAKASH JOSHI,0.09492729823163677,BJP,16,161
CHANDU LAL SAHU,0.09807358089354384,BJP,16,161
CHINTAMAN NAVSHA WANAGA,0.23591550759324703,BJP,16,161
CHINTAMANI MALVIYA,0.10522540086983637,BJP,16,161
DALPAT SINGH PARASTE,0.10916177759373163,BJP,16,161
DARSHANA VIKRAM JARDOSH,0.0772187165502901,BJP,16,161
DEVAJIBHAI GOVINDBHAI FATEPARA,0.09231757107115222,BJP,16,161
DEVENDRA (ALIAS) BHOLE SINGH SINGH,0.0709211186169171,BJP,16,161
DEVUSINH JESINGBHAI CHAUHAN,0.08020377483821599,BJP,16,161
DIPSINH SHANKARSINH RATHOD,0.10275246326702878,BJP,16,161
DUSHYANT SINGH,0.08546358811070986,BJP,16,161
Dr. BHOLA SINGH,0.08284866063679741,BJP,16,161
G. HARI,0.09510570853618523,BJP,16,161
GAJENDRA SINGH SHEKHAWAT,0.07571144818210117,BJP,16,161
GANESH SINGH,0.07996005328419904,BJP,16,161
GOKARAJU GANGA RAJU,0.10471285723578098,BJP,16,161
GOPAL CHINAYYA SHETTY,0.08057198627679277,BJP,16,161
George Baker,0.0874613426108492,BJP,16,161
HARI BABU KAMBHAMPATI,0.08292324215138389,BJP,16,161
HARI MANJHI,0.09165283480696537,BJP,16,161
HARI NARAYAN RAJBHAR,0.06583109727559872,BJP,16,161
HARI OM PANDEY,0.10025959188228277,BJP,16,161
HARIOM SINGH RATHORE,0.09627983268805389,BJP,16,161
HARISH CHANDRA MEENA,0.09641506281618223,BJP,16,161
HARISH DWIVEDI,0.09935102141143203,BJP,16,161
HEENA VIJAYKUMAR GAVIT,0.08916086649897127,BJP,16,161
HEMAMALINI,0.0954509372105451,BJP,16,161
HUKUM SINGH,0.07946734408559757,BJP,16,161
JAGDAMBIKA PAL,0.0769958169678149,BJP,16,161
JANAK RAM,0.11544343704276792,BJP,16,161
JANARDAN SINGH SIGRIWAL,0.17477130053280632,BJP,16,161
JITENDRA CHAUDHURY,0.08896877125106821,BJP,16,161
JUGAL KISHORE SHARMA,0.07006618461779197,BJP,16,161
JYOTI DHURVE,0.07888381637507076,BJP,16,161
K. ASHOK KUMAR,0.10507662080600265,BJP,16,161
K. GOPAL,0.09082789868190595,BJP,16,161
KAMLA DEVI PATLE,0.07992301700361407,BJP,16,161
KANWAR SINGH TANWAR,0.08346760176798061,BJP,16,161
KAPIL MORESHWAR PATIL,0.08096669774161125,BJP,16,161
KAUSHAL KISHORE,0.08440519150340144,BJP,16,161
KIRIT PREMJIBHAI SOLANKI,0.10088571839754623,BJP,16,161
KIRIT SOMAIYA,0.10255058407549678,BJP,16,161
KIRRON KHER,0.08863727105363918,BJP,16,161
KIRTI (JHA) AZAD,0.09089179407345495,BJP,16,161
KRISHN PRATAP SINGH,0.09254941892949146,BJP,16,161
KUNWAR HARIBANSH SINGH,0.08826580376948048,BJP,16,161
KUNWAR PUSHPENDRA SINGH CHANDEL,0.09131140543510498,BJP,16,161
LAKHAN LAL SAHU,0.06641806210635115,BJP,16,161
LALLU SINGH,0.10164791803286606,BJP,16,161
LAXMAN GILUWA,0.0959943056490111,BJP,16,161
LAXMI NARAYAN YADAV,0.08499937834936468,BJP,16,161
MAHEISH GIRRI,0.1031010242985424,BJP,16,161
MANOJ KUMAR TIWARI,0.0942443514605357,BJP,16,161
MANOJ RAJORIA,0.1829447713266531,BJP,16,161
MANSHANKAR NINAMA,0.09124393209223568,BJP,16,161
MANSUKHBHAI DHANJIBHAI VASAVA,0.06922710135591109,BJP,16,161
MEENAKASHI LEKHI,0.09229687945440741,BJP,16,161
MOHANBHAI KALYANJIBHAI KUNDARIYA,0.10254280443393533,BJP,16,161
NALIN KUMAR KATEEL,0.0631384926753238,BJP,16,161
NANABHAU FALGUNRAO PATOLE,0.0967425737296967,BJP,16,161
NARANBHAI KACHHADIA,0.07065663133450144,BJP,16,161
NEELAM SONKER,0.08977484609645492,BJP,16,161
NIHAL CHAND CHAUHAN,0.0814553046173038,BJP,16,161
NISHIKANT DUBEY,0.08281221760021987,BJP,16,161
NITYANAND RAI,0.07883121846632503,BJP,16,161
OM BIRLA,0.08490971810166534,BJP,16,161
OM PRAKASH YADAV,0.07220978007528131,BJP,16,161
P. C. MOHAN,0.1819804322114421,BJP,16,161
P.P. CHAUDHARY,0.07855961849944726,BJP,16,161
PANKAJ CHOWDHARY,0.09552707716629216,BJP,16,161
PARBHUBHAI NAGARBHAI VASAVA,0.08344208503981763,BJP,16,161
PARESH RAWAL,0.1310534048053156,BJP,16,161
PARVESH SAHIB SINGH,0.10071093864412968,BJP,16,161
POONAM MAHAJAN,0.12008462119171918,BJP,16,161
POONAMBEN HEMATBHAI MAADAM,0.08995149168069297,BJP,16,161
PRAHLAD SINGH PATEL,0.10327790407508547,BJP,16,161
PRALHAD VENKATESH JOSHI,0.09876103942670086,BJP,16,161
PRATHAP SIMHA,0.09638849238020318,BJP,16,161
PRITAM GOPINATH MUNDE,0.09267003633746708,BJP,16,161
R.K. BHARATHI MOHAN,0.15042813768381674,BJP,16,161
RAGHAV LAKHANPAL,0.11178118229841845,BJP,16,161
RAHUL KASWAN,0.08543172003563969,BJP,16,161
RAJENDRA AGRAWAL,0.08733063949441845,BJP,16,161
RAJESH KUMAR DIWAKAR,0.1050556070338867,BJP,16,161
RAJESH VERMA,0.10744076190855387,BJP,16,161
RAJESHBHAI NARANBHAI CHUDASAMA,0.09346578934487922,BJP,16,161
RAJIV PRATAP RUDY,0.1333756180144087,BJP,16,161
RAKESH SINGH,0.1101069581107149,BJP,16,161
RAKSHA NIKHIL KHADSE,0.08836386045637833,BJP,16,161
RAM CHARITRA,0.10500640041475819,BJP,16,161
RAM TAHAL CHOUDHARY,0.08183765868904422,BJP,16,161
RAMA DEVI,0.09311250328241119,BJP,16,161
RAMCHARAN BOHARA,0.08024945901792101,BJP,16,161
RAMDAS CHANDRABHANJI TADAS,0.07988495722628267,BJP,16,161
RAMESH BIDHURI,0.09540303937883404,BJP,16,161
RAMESH CHANDER KAUSHIK,0.09092184800400632,BJP,16,161
RAMESH POKHRIYAL NISHANK,0.08010870852984157,BJP,16,161
RAMESWAR TELI,0.07587502117386169,BJP,16,161
RAMSINH PATALYABHAI RATHWA,0.09208030624667132,BJP,16,161
RAOSAHEB PATIL DANVE,0.11231790741145538,BJP,16,161
RATTAN LAL KATARIA,0.1492779357461989,BJP,16,161
RAVINDRA KUMAR PANDEY,0.09140079803745953,BJP,16,161
RAVINDRA KUMAR RAY,0.117181597168432,BJP,16,161
RAVINDRA KUSHAWAHA,0.16631487325363267,BJP,16,161
REKHA ARUN VERMA,0.08922797313231151,BJP,16,161
RITI PATHAK,0.070464106735321,BJP,16,161
RODMAL NAGAR,0.08201440143046253,BJP,16,161
Richard Hay,0.07273754615088658,BJP,16,161
SAKSHI SWAMI MAHARAJ,0.10418202135484662,BJP,16,161
SANJAY JAISWAL,0.09345874658925842,BJP,16,161
SANJAY SHAMRAO DHOTRE,0.09126757589881643,BJP,16,161
SANJAY(KAKA) RAMCHANDRA PATIL,0.06184760001278638,BJP,16,161
SANTOSH AHLAWAT,0.09750854466017872,BJP,16,161
SATISH CHANDRA DUBEY,0.08656195969740822,BJP,16,161
SATYA PAL SINGH,0.07765837343872921,BJP,16,161
SHARAD TRIPATHI,0.07827409728839035,BJP,16,161
SHOBHA KARANDLAJE,0.10629943647204257,BJP,16,161
SONA RAM CHOUDHARY,0.08351611639536838,BJP,16,161
SUBHASH PATEL,0.08982337008818136,BJP,16,161
SUBHASH RAMRAO BHAMRE,0.08923064391921275,BJP,16,161
SUDHEER GUPTA,0.10679079124563308,BJP,16,161
SUKHBIR SINGH JAUNPURIA,0.06117009739471773,BJP,16,161
SUMEDHANAND SARASWATI,0.10247445954073794,BJP,16,161
SUNIL BALIRAM GAIKWAD,0.07842351445953398,BJP,16,161
SUNIL KUMAR SINGH,0.09846515852204435,BJP,16,161
SUSHIL KUMAR SINGH,0.09824212506314246,BJP,16,161
UDAY PRATAP SINGH,0.08528148348797018,BJP,16,161
UDIT RAJ,0.09591887990471033,BJP,16,161
VIJAY KUMAR S.R.,0.09527813346740956,BJP,16,161
VIKRAM USENDI,0.08422277440236728,BJP,16,161
VINOD CHAVDA,0.06854327359712911,BJP,16,161
VINOD KUMAR SONKAR,0.08635788983238299,BJP,16,161
VIRENDRA KUMAR,0.06955989702910756,BJP,16,161
VISHNU DAYAL RAM,0.08658887457784957,BJP,16,161
YOGI ADITYANATH,0.0841126125381032,BJP,16,161
(Dr.) Ram Shankar Katheria,0.08616380712035462,BJP,17,166
Ajay Bhatt,0.0764885845306429,BJP,17,166
Ajay Nishad,0.07150282099677131,BJP,17,166
Anil Firojiya,0.0996543350062653,BJP,17,166
Annasaheb Shankar Jolle,0.10901050613701882,BJP,17,166
Annpurna Devi,0.07369491924862691,BJP,17,166
Anurag Sharma,0.08835418534662362,BJP,17,166
Aparajita Sarangi,0.09033536886336714,BJP,17,166
Arjunlal Meena,0.08036606138855117,BJP,17,166
Arun Kumar Sagar,0.07229304587889884,BJP,17,166
Arun Sao,0.08104666481300939,BJP,17,166
Arvind Kumar Sharma,0.11098430228485855,BJP,17,166
Ashok Kumar Rawat,0.09805974860281733,BJP,17,166
Ashok Mahadeorao Nete,0.09157144173727859,BJP,17,166
Basanta Kumar Panda,0.07124149213404378,BJP,17,166
Bhagirath Chaudhary,0.09386070160053873,BJP,17,166
Bhagwanth Khuba,0.07839578522120039,BJP,17,166
Bharti Pravin Pawar,0.15923601193781287,BJP,17,166
Bhola Singh,0.11386574993170544,BJP,17,166
Bidyut Baran Mahato,0.09345503848698469,BJP,17,166
Brijendra Singh,0.09859395015209164,BJP,17,166
Chandra Prakash Joshi,0.10443013232271699,BJP,17,166
Chunni Lal Sahu,0.09023588946270353,BJP,17,166
Debasree Chaudhuri,0.07660149215519155,BJP,17,166
Dhal Singh Bisen,0.12721110864073112,BJP,17,166
Dharambir Singh,0.08608000466663765,BJP,17,166
Dharmendra Kumar Kashyap,0.06244080544302747,BJP,17,166
Dipsinh Shankarsinh Rathod,0.1744137071702492,BJP,17,166
Diya Kumari,0.0753394433841141,BJP,17,166
Dushyant Singh,0.09479852840339557,BJP,17,166
