party_family,lok_no,n_mps,discipline,discipline_sd,n_mps_used
BJP,16,161,0.09393796148934523,0.022651072605258803,161
BJP,17,166,0.09343513814467463,0.020736319262371284,166
BJP,18,89,0.12872886329208735,0.021037152317113766,89
BSP,17,4,0.5056516460724183,0.07813834811669518,4
DMK,17,17,0.2572413517256421,0.05551889742612146,17
DMK,18,15,0.2788874005553994,0.052369166454751925,15
INC,16,33,0.18089422435281372,0.046140563140042584,33
INC,17,44,0.16648432045371733,0.030843526896384314,44
INC,18,56,0.14918987030247446,0.02784569659598548,56
JDU,17,10,0.33636878802402376,0.07808762615558228,10
JDU,18,7,0.38499361702967616,0.06995705854177817,7
Left,16,9,0.3380959066917801,0.08659695550765527,9
Left,17,5,0.43451391049837124,0.140922737574994,5
Left,18,5,0.44869250041017567,0.07868321607144131,5
NCP,16,5,0.4402554399319809,0.1274732371665125,5
NCP,17,5,0.468671383777933,0.044470222334940857,5
NCP,18,4,0.5014531869029218,0.1066666058151361,4
Regional,16,40,0.14554904232311,0.07979202152439827,40
Regional,17,30,0.189345569705141,0.06188923222838336,30
Regional,18,14,0.2880645849783936,0.042148994339622665,14
SP,16,3,0.5686450755377401,0.16033578403617188,3
SP,18,9,0.34620973322758175,0.05010435836874942,9
Shiv Sena,16,17,0.25964313719123217,0.03665270139360375,17
Shiv Sena,17,18,0.259402938920455,0.03517899466321937,18
Shiv Sena,18,12,0.30478716659017097,0.06363725677589101,12
TDP,16,12,0.27968645597050784,0.11791999884335652,12
TDP,17,4,0.5186917285126206,0.1193536485508181,4
TDP,18,13,0.31298131774294513,0.05327973520136404,13
TMC,16,8,0.3559380282798284,0.07130096643980507,8
TMC,17,7,0.3715360846222587,0.11016978543583739,7
TMC,18,3,0.5561497671063351,0.21382255566659444,3
YSRCP,16,5,0.4700833537463815,0.08326572484832777,5
YSRCP,17,18,0.2628464542183925,0.038433228319217395,18
YSRCP,18,3,0.608842569266602,0.06810502568227537,3
