ministry_clean,f_n,f_share,m_n,m_share,nat_n,nat_share,gap,pearson_f,f_pct,m_pct
Jal Shakti,18,0.06164383561643835,282,0.0243334196220554,300,0.0252503997979968,0.03731041599438295,3.9136353175212064,6.164383561643835,2.4333419622055397
Finance,7,0.023972602739726026,590,0.05091034601777548,597,0.05024829559801364,-0.02693774327804945,-2.0030183814233466,2.3972602739726026,5.091034601777547
Women & Child,13,0.04452054794520548,216,0.018638363965829668,229,0.019274471845804227,0.02588218397937581,3.1073778771606624,4.4520547945205475,1.8638363965829667
Panchayati Raj,9,0.030821917808219176,70,0.006040210544481836,79,0.006649271946805825,0.02478170726373734,5.0655728737268975,3.0821917808219177,0.6040210544481837
Commerce,2,0.00684931506849315,289,0.02493744067650358,291,0.0244928878040569,-0.01808812560801043,-1.9264509746896417,0.684931506849315,2.493744067650358
Ayush,6,0.02054794520547945,49,0.004228147381137286,55,0.00462923996296608,0.016319797824342164,3.99801408820803,2.054794520547945,0.42281473811372855
Tourism,9,0.030821917808219176,170,0.014669082750884459,179,0.015066071879471425,0.016152835057334718,2.193477245452983,3.0821917808219177,1.466908275088446
"Micro, Small And Medium Enterprises",5,0.017123287671232876,34,0.002933816550176892,39,0.003282551973739584,0.014189471121055983,4.128048542457504,1.7123287671232876,0.2933816550176892
Skill Development And Entrepreneurship,7,0.023972602739726026,149,0.012857019587539908,156,0.013130207894958336,0.011115583152186118,1.6168913710200452,2.3972602739726026,1.2857019587539908
"Fisheries, Animal Husbandry And Dairying",6,0.02054794520547945,110,0.009491759427042886,116,0.009763487921892097,0.011056185778436565,1.86503601889998,2.054794520547945,0.9491759427042886
Education,18,0.06164383561643835,589,0.05082405729571145,607,0.051089975591280194,0.010819778320726905,0.7978750928916787,6.164383561643835,5.0824057295711444
New And Renewable Energy,7,0.023972602739726026,158,0.013633618086116144,165,0.013887719888898241,0.010338984653609882,1.4623347796897856,2.3972602739726026,1.3633618086116144
Railways,21,0.07191780821917808,714,0.06161014755371473,735,0.06186347950509216,0.010307660665463347,0.6907602435845948,7.191780821917808,6.161014755371473
Social Justice,7,0.023972602739726026,160,0.013806195530244198,167,0.014056055887551553,0.010166407209481828,1.4292893451180606,2.3972602739726026,1.3806195530244199
Chemicals And Fertilizers,8,0.0273972602739726,200,0.017257744412805247,208,0.01750694385994445,0.010139515861167354,1.2773103818295264,2.73972602739726,1.7257744412805247
Electronics And Information Technology,6,0.02054794520547945,127,0.01095866770213133,133,0.01119434391044525,0.00958927750334812,1.51067470367706,2.054794520547945,1.095866770213133
"Environment, Forest And Climate Change",4,0.0136986301369863,56,0.004832168435585469,60,0.00505007995959936,0.008866461701400832,2.0796277692667253,1.36986301369863,0.48321684355854694
Youth Affairs And Sports,2,0.00684931506849315,175,0.01510052636120459,177,0.014897735880818113,-0.00825121129271144,-1.126787358364598,0.684931506849315,1.510052636120459
Civil Aviation,7,0.023972602739726026,370,0.031926827163689706,377,0.031731335746149315,-0.00795422442396368,-0.7442829250383903,2.3972602739726026,3.1926827163689704
"Ayurveda,Yoga & Naturopathy,Unani,Siddha And Homeopathy (Ayush)",2,0.00684931506849315,170,0.014669082750884459,172,0.014476895884184833,-0.007819767682391308,-1.083279483427129,0.684931506849315,1.466908275088446
Law And Justice,2,0.00684931506849315,170,0.014669082750884459,172,0.014476895884184833,-0.007819767682391308,-1.083279483427129,0.684931506849315,1.466908275088446
Cooperation,3,0.010273972602739725,35,0.003020105272240918,38,0.0031983839744129283,0.007253867330498808,2.137906465259499,1.0273972602739725,0.30201052722409183
Health,21,0.07191780821917808,753,0.06497540771421176,774,0.06514603147883175,0.00694240050496632,0.4533671769186416,7.191780821917808,6.497540771421176
Rural Development,10,0.03424657534246575,320,0.027612391060488396,330,0.027775439777796482,0.006634184281977356,0.6635008013669778,3.4246575342465753,2.7612391060488397
Communications,3,0.010273972602739725,194,0.01674001208042109,197,0.016581095867351233,-0.006466039477681363,-0.8369820215092845,1.0273972602739725,1.674001208042109
Labour,8,0.0273972602739726,244,0.021054448183622402,252,0.021210335830317312,0.006342812090350199,0.72592619071059294,2.73972602739726,2.10544481836224
Road Transport,9,0.030821917808219176,418,0.036068685822762965,427,0.035939735712482115,-0.005246768014543789,-0.4613056942383666,3.0821917808219177,3.6068685822762965
Agriculture,19,0.06506849315068493,696,0.06005695055656226,715,0.06018011951855905,0.0050115425941226685,0.34050954912464226,6.506849315068493,6.005695055656226
Urban Development,5,0.017123287671232876,247,0.02131331434981448,252,0.021210335830317312,-0.004190026678581604,-0.4795428372197861,1.7123287671232876,2.131331434981448
Corporate Affairs,4,0.0136986301369863,116,0.010009491759427043,120,0.01010015991919872,0.003689138377559258,0.6118503507044579,1.36986301369863,1.0009491759427043
Science & Tech,3,0.010273972602739725,80,0.006903097765122099,83,0.0069859439441124485,0.0033708748376176266,0.6722247088170094,1.0273972602739725,0.6903097765122099
Petroleum,5,0.017123287671232876,229,0.019760117352662008,234,0.019695311842437505,-0.002636829681429132,-0.31317352498364065,1.7123287671232876,1.9760117352662008
I&B,4,0.0136986301369863,129,0.011131245146259384,133,0.01119434391044525,0.002567384990726916,0.40446045687353765,1.36986301369863,1.1131245146259385
Culture,4,0.0136986301369863,188,0.01622227974803693,192,0.016160255870717954,-0.0025236496110506296,-0.33089433552360153,1.36986301369863,1.622227974803693
"Ports, Shipping And Waterways",2,0.00684931506849315,54,0.004659590991457417,56,0.004713407962292736,0.0021897240770357334,0.5316260712082365,0.684931506849315,0.4659590991457417
Planning,2,0.00684931506849315,59,0.005091034601777547,61,0.0051342479589260165,0.0017582804667156029,0.4090101866927443,0.684931506849315,0.5091034601777548
Food & Consumer,6,0.02054794520547945,258,0.02226249029251877,264,0.022220351822237184,-0.001714545087039318,-0.19171576963666834,2.054794520547945,2.226249029251877
Minority Affairs,2,0.00684931506849315,92,0.007938562429890413,94,0.007911791936705664,-0.0010892473613972626,-0.20411432279097486,0.684931506849315,0.7938562429890413
Tribal Affairs,3,0.010273972602739725,130,0.01121753386832341,133,0.01119434391044525,-9.435612655836843e-4,-0.14864666652822356,1.0273972602739725,1.121753386832341
Textiles,4,0.0136986301369863,156,0.013461040641988092,160,0.013466879892264961,2.3758949499820894e-4,0.0341254301031464,1.36986301369863,1.3461040641988091
