primary_norm,party_family,dim1,dim2
(ADV.) JOICE GEORGE,Independent,-0.0022023186280061145,-4.0618774091476446e-4
(Dr.) Ram Shankar Katheria,BJP,-0.002351429766037595,-0.004064589038775764
(SMT.) RATNA DE(NAG),TMC,-0.0024133972269513955,-8.811107544792042e-4
A. Chellakumar,INC,-0.0027069371328559706,0.0011151381377208231
A. Ganeshamurthi,DMK,-0.0021529387842840306,-6.079572486256917e-4
A.K.P. Chinraj,DMK,-0.0024562457387627364,-8.484354039504872e-4
A.P. JITHENDER REDDY,Regional,-0.0023799261775343276,-0.0027437431516898403
A.T. (NANA) PATIL,BJP,-0.001792986442755125,-0.0025455039490830723
ABHISHEK SINGH,BJP,-0.0022055966039784603,0.0017269416975303814
ADHIR RANJAN CHOWDHURY,INC,-0.002525150776465061,0.0078629981066214091
ADVOCATE NARENDRA KESHAV SAWAIKAR,BJP,-0.0023867527273851797,0.0012974752446654478
AJAY (TENI) MISRA,Regional,-0.0020232902752351,0.0035848803285438765
AJAY NISHAD,BJP,-0.0025244669147587366,-1.8094786325905475e-4
ANANDRAO ADSUL,Shiv Sena,-0.002052035240587842,-3.311092117720964e-4
ANANT KUMAR DATTATREYA HEGDE,BJP,-0.0023507047751535,0.0043372640301572885
ANIRUDHAN SAMPATH,Left,-0.0021284855608568235,0.0014490611337243736
ANJU BALA,BJP,0.008980431559179903,-0.0016231268626875352
ANOOP MISHRA,BJP,-0.0019390216622845269,-0.0013091631740674613
ANSHUL VERMA,BJP,-0.002489200375386609,0.0012143157024233997
ANTO ANTONY,INC,0.0022128696662979514,2.313606341675594e-4
ANUPAM HAZRA,TMC,0.006874539857157792,4.79777280283849e-5
ANURAG SINGH THAKUR,BJP,-0.0017990709660729994,-0.0023388251779060537
ARJUN RAM MEGHWAL,BJP,-0.0021690373000536937,-0.002299884181033135
ARJUNLAL MEENA,BJP,-0.0016514637874097558,-0.0037378750446649275
ARVIND GANPAT SAWANT,Shiv Sena,-6.827952281126872e-4,0.001400480122449661
ASADUDDIN OWAISI,Regional,-0.0020606851013853485,0.0012369344899968104
ASHOK MAHADEORAO NETE,BJP,-0.002482257799164914,-4.088558920829952e-4
ASHOK SHANKARRAO CHAVAN,INC,-0.0019865099806556266,5.887833590069297e-4
ASHWINI KUMAR,BJP,-0.0022143267277199047,0.001915476447998314
ASHWINI KUMAR CHOUBEY,BJP,-0.002122564563824076,0.011723745493914464
Abdul Khaleque,INC,-0.0019305137655879555,-0.0020433519276039274
Abdul Majeed Ariff,Left,-0.002271409001563158,-0.0020918466844307504
Achyutananda Samanta,Regional,-0.0021553607288364103,-9.264826478337404e-4
Adoor Prakash,INC,-0.00222505629337856,-0.0031561894172370277
Adv Dean Kuriakose,INC,-0.0022872323149698264,-0.004479989402390478
Adv Gowaal Kagada Padavi,INC,-0.002499901681493629,-0.004697033167210095
Adv. Adoor Prakash,INC,-0.002044640635152887,-0.003078919162498105
Ajay (Teni) Misra,Regional,-0.0023440692585868696,-5.613969741097596e-4
Ajay Bhatt,BJP,0.005861268195976035,-0.0033602888869520924
Ajay Kumar Mandal,JDU,0.00567263219837564,5.10166387850835e-4
Ajay Nishad,BJP,-0.0024174120293668686,-7.020855208718431e-4
Alok Kumar Suman,JDU,4.3043335117739557e-4,-5.213337324475706e-4
Amar Singh,INC,-0.0021282151578966824,0.001759898756987097
Amol Ramsing Kolhe,NCP,0.0020191973135622637,-9.908952416458607e-5
Anil Firojiya,BJP,-0.0022214812171303428,-0.0018423706752372345
Annasaheb Shankar Jolle,BJP,-0.001693779944013713,0.0032431261720460066
Annpurna Devi,BJP,-0.0023401837638437634,0.0019749071107068193
Anto Antony,INC,-0.0023067088548284495,0.0018471075097677315
Anubhav Mohanty,Regional,-0.0021638203456157755,-7.215368746415891e-4
Anumula Revanth Reddy,INC,-0.0027565201818302285,-0.003190871007348435
Anurag Sharma,BJP,-0.0014089596505848648,-0.005129661455037313
Aparajita Sarangi,BJP,-0.0022111158639481427,-0.004328192961088526
Arjunlal Meena,BJP,-0.0022664100880718384,-0.004339048922913425
Arun Kumar Sagar,BJP,-0.0015898165452168029,-0.0049192980727480054
Arun Sao,BJP,-0.002368691211203228,-0.0019841390587690202
Arvind Ganpat Sawant,Shiv Sena,9.795887923906594e-4,-0.002178613859760146
Arvind Kumar Sharma,BJP,-0.002202545386325494,-0.0011315219159292681
Asaduddin Owaisi,Regional,-0.002213139760969776,-7.645406258431002e-4
Ashok Kumar Rawat,BJP,-0.0022481230278454376,-0.004281889202587639
Ashok Mahadeorao Nete,BJP,-0.002451024742329064,-0.006109545424634825
B. S. YEDDYURAPPA,BJP,-0.002242379960907508,-0.0014846048828998587
B. SREERAMULU,BJP,-0.0021543747050300354,-3.6190149452695795e-5
B.V. NAYAK,INC,-0.002077750666428235,-0.002647213932831852
"BAIJAYANT ""JAY"" PANDA",Regional,5.25631456397247e-4,-0.004619548875690263
BALABHADRA MAJHI,Regional,-0.0010044921734334912,-0.0018920392090033007
BALKA SUMAN,Regional,-0.002172980449003919,-0.0030548991398668744
BANSHILAL MAHTO,BJP,-0.0021709172359256077,-2.4661820084779585e-4
BHAGIRATH PRASAD,BJP,-0.0025944099400500935,0.0017095104413267842
BHAIRON PRASAD MISHRA,BJP,-0.002239122472736974,2.1976782131263495e-4
