doc_party_session,topic,gamma,party_family,lok_no,session_no,year
AAP_16_11,1,0.057017543859649134,AAP,16,11,2017
AAP_16_12,1,0.07719298245614035,AAP,16,12,2018
AAP_16_14,1,0.09401709401709403,AAP,16,14,2018
AAP_16_5,1,0.08683473389355743,AAP,16,5,2015
AAP_16_6,1,0.06918238993710693,AAP,16,6,2016
BJP_16_10,1,0.0702573076673796,BJP,16,10,2017
BJP_16_11,1,0.12710072342793546,BJP,16,11,2017
BJP_16_12,1,0.11522921522921523,BJP,16,12,2018
BJP_16_13,1,0.17648300612201817,BJP,16,13,2018
BJP_16_14,1,0.1624793066510858,BJP,16,14,2018
BJP_16_15,1,0.12133333333333333,BJP,16,15,2019
BJP_16_16,1,0.06580388934538482,BJP,16,16,2019
BJP_16_17,1,0.15295653795933595,BJP,16,17,2019
BJP_16_5,1,0.019977237731806922,BJP,16,5,2015
BJP_16_6,1,0.127281874371137,BJP,16,6,2016
BJP_16_7,1,0.12291233741245287,BJP,16,7,2016
BJP_16_8,1,0.0924638640626724,BJP,16,8,2016
BJP_16_9,1,0.08395400496537306,BJP,16,9,2017
BJP_17_1,1,0.19160418086798453,BJP,17,1,2019
BJP_17_10,1,0.0524806781351284,BJP,17,10,2022
BJP_17_11,1,0.10121721018030333,BJP,17,11,2022
BJP_17_12,1,0.04789176626826029,BJP,17,12,2023
BJP_17_14,1,0.04312733405613781,BJP,17,14,2023
BJP_17_15,1,0.014610728449175537,BJP,17,15,2024
BJP_17_2,1,0.08249848208864602,BJP,17,2,2019
BJP_17_3,1,0.18402371479834623,BJP,17,3,2020
BJP_17_5,1,0.1012533445993522,BJP,17,5,2020
BJP_17_6,1,0.07463299455908018,BJP,17,6,2021
BJP_17_7,1,0.05910485471936474,BJP,17,7,2021
BJP_17_8,1,0.09542165415567729,BJP,17,8,2021
BJP_17_9,1,0.0528767761472164,BJP,17,9,2022
BSP_17_1,1,0.07364341085271318,BSP,17,1,2019
BSP_17_10,1,0.04467353951890035,BSP,17,10,2022
BSP_17_11,1,0.07788161993769471,BSP,17,11,2022
BSP_17_12,1,0.0272108843537415,BSP,17,12,2023
BSP_17_14,1,0.08095238095238096,BSP,17,14,2023
BSP_17_15,1,0.04385964912280702,BSP,17,15,2024
BSP_17_3,1,0.25066666666666665,BSP,17,3,2020
BSP_17_5,1,0.03801169590643275,BSP,17,5,2020
BSP_17_6,1,0.03359173126614987,BSP,17,6,2021
BSP_17_7,1,0.07816091954022988,BSP,17,7,2021
BSP_17_8,1,0.20821661998132585,BSP,17,8,2021
BSP_17_9,1,0.05020080321285141,BSP,17,9,2022
DMK_17_1,1,0.07909604519774012,DMK,17,1,2019
DMK_17_11,1,0.07113462669018225,DMK,17,11,2022
DMK_17_12,1,0.040105193951347796,DMK,17,12,2023
DMK_17_14,1,0.16894977168949774,DMK,17,14,2023
DMK_17_15,1,0.10016420361247946,DMK,17,15,2024
DMK_17_2,1,0.17155555555555554,DMK,17,2,2019
DMK_17_3,1,0.10703363914373089,DMK,17,3,2020
DMK_17_5,1,0.22451790633608817,DMK,17,5,2020
DMK_17_6,1,0.06513409961685825,DMK,17,6,2021
DMK_17_7,1,0.022703818369453045,DMK,17,7,2021
DMK_17_8,1,0.02570480928689884,DMK,17,8,2021
DMK_17_9,1,0.03703703703703704,DMK,17,9,2022
INC_16_10,1,0.10355253212396069,INC,16,10,2017
INC_16_11,1,0.12924628450106157,INC,16,11,2017
INC_16_12,1,0.08315863032844165,INC,16,12,2018
INC_16_13,1,0.1363049095607235,INC,16,13,2018
INC_16_14,1,0.16478696741854637,INC,16,14,2018
INC_16_15,1,0.3083429450211457,INC,16,15,2019
INC_16_16,1,0.08709219858156028,INC,16,16,2019
INC_16_17,1,0.07522331922896099,INC,16,17,2019
INC_16_5,1,0.030476190476190473,INC,16,5,2015
INC_16_6,1,0.08609794628751975,INC,16,6,2016
INC_16_7,1,0.0393852065321806,INC,16,7,2016
INC_16_8,1,0.034736138944555774,INC,16,8,2016
INC_16_9,1,0.073160706946157,INC,16,9,2017
INC_17_1,1,0.04648201209805794,INC,17,1,2019
INC_17_10,1,0.02129011757229107,INC,17,10,2022
INC_17_11,1,0.13189996950289723,INC,17,11,2022
INC_17_12,1,0.045077105575326216,INC,17,12,2023
INC_17_14,1,0.07255426702349092,INC,17,14,2023
INC_17_15,1,0.028599605522682443,INC,17,15,2024
INC_17_2,1,0.12121212121212122,INC,17,2,2019
INC_17_3,1,0.11776668515437234,INC,17,3,2020
INC_17_5,1,0.14061284803235338,INC,17,5,2020
INC_17_6,1,0.04892966360856269,INC,17,6,2021
INC_17_7,1,0.13432133615619854,INC,17,7,2021
INC_17_8,1,0.05535683869868847,INC,17,8,2021
INC_17_9,1,0.024440977639105563,INC,17,9,2022
Independent_17_1,1,0.06481481481481483,Independent,17,1,2019
Independent_17_10,1,0.07450980392156864,Independent,17,10,2022
Independent_17_3,1,0.03968253968253969,Independent,17,3,2020
Independent_17_8,1,0.05284552845528456,Independent,17,8,2021
Independent_17_9,1,0.11965811965811966,Independent,17,9,2022
JDU_17_1,1,0.03821015585721468,JDU,17,1,2019
JDU_17_10,1,0.04491725768321513,JDU,17,10,2022
JDU_17_11,1,0.03759743237047226,JDU,17,11,2022
JDU_17_12,1,0.03108003108003108,JDU,17,12,2023
JDU_17_14,1,0.021104903786468034,JDU,17,14,2023
JDU_17_15,1,0.08686868686868687,JDU,17,15,2024
JDU_17_2,1,0.058982683982683984,JDU,17,2,2019
JDU_17_3,1,0.13940648723257418,JDU,17,3,2020
JDU_17_5,1,0.010964912280701756,JDU,17,5,2020
JDU_17_6,1,0.05840886203423967,JDU,17,6,2021
JDU_17_7,1,0.030626780626780627,JDU,17,7,2021
JDU_17_8,1,0.052262587635436585,JDU,17,8,2021
JDU_17_9,1,0.0583533173461231,JDU,17,9,2022
Left_16_10,1,0.060215053763440864,Left,16,10,2017
Left_16_11,1,0.08333333333333333,Left,16,11,2017
Left_16_12,1,0.10283687943262411,Left,16,12,2018
Left_16_13,1,0.022494887525562373,Left,16,13,2018
Left_16_14,1,0.17412935323383086,Left,16,14,2018
Left_16_15,1,0.050682261208576995,Left,16,15,2019
Left_16_16,1,0.02093397745571659,Left,16,16,2019
Left_16_17,1,0.16381766381766383,Left,16,17,2019
Left_16_5,1,0.02182214948172395,Left,16,5,2015
Left_16_6,1,0.11641541038525964,Left,16,6,2016
Left_16_7,1,0.05555555555555556,Left,16,7,2016
Left_16_8,1,0.0784313725490196,Left,16,8,2016
Left_16_9,1,0.06666666666666667,Left,16,9,2017
Left_17_10,1,0.04609929078014185,Left,17,10,2022
Left_17_11,1,0.06597222222222222,Left,17,11,2022
Left_17_14,1,0.034722222222222224,Left,17,14,2023
Left_17_15,1,0.07175925925925926,Left,17,15,2024
Left_17_2,1,0.06572769953051644,Left,17,2,2019
Left_17_8,1,0.12785388127853883,Left,17,8,2021
RJD_16_10,1,0.07852564102564102,RJD,16,10,2017
RJD_16_11,1,0.18579234972677597,RJD,16,11,2017
RJD_16_12,1,0.03703703703703704,RJD,16,12,2018
