id,lok_no,session_no,party_family,ministry,n_gpe,n_person,n_org,states_mentioned
LS16-S10-STARRED-440,16,10,INC,HEALTH AND FAMILY WELFARE,0,0,1,
LS16-S10-STARRED-439,16,10,BJP,DEFENCE,0,1,3,
LS16-S10-STARRED-438,16,10,BJP,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)",0,0,6,
LS16-S10-STARRED-436,16,10,BJP,FINANCE,0,0,1,
LS16-S10-STARRED-434,16,10,TDP,FINANCE,0,2,4,
LS16-S10-STARRED-428,16,10,BJP,DEFENCE,0,0,5,
LS16-S10-STARRED-427,16,10,BJP,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)",0,0,2,
LS16-S10-STARRED-425,16,10,BJP,DEFENCE,0,2,4,
LS16-S10-STARRED-416,16,10,BJP,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",2,2,6,
LS16-S10-STARRED-415,16,10,TDP,SHIPPING,0,1,7,
LS16-S10-STARRED-409,16,10,BJP,TEXTILES,0,0,2,
LS16-S10-STARRED-406,16,10,BJP,PANCHAYATI RAJ,1,1,2,
LS16-S10-STARRED-405,16,10,BJP,SHIPPING,0,0,3,
LS16-S10-STARRED-404,16,10,TDP,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",1,0,3,
LS16-S10-STARRED-396,16,10,BJP,ATOMIC ENERGY,2,0,2,
LS16-S10-STARRED-395,16,10,Shiv Sena,RAILWAYS,0,0,0,
LS16-S10-STARRED-394,16,10,BJP,DEVELOPMENT OF NORTH EASTERN REGION,0,0,5,
LS16-S10-STARRED-392,16,10,BJP,LAW AND JUSTICE,0,1,7,
LS16-S10-STARRED-391,16,10,BJP,RAILWAYS,0,0,1,
LS16-S10-STARRED-388,16,10,BJP,PLANNING,0,0,0,
LS16-S10-STARRED-386,16,10,Shiv Sena,ELECTRONICS AND INFORMATION TECHNOLOGY,0,0,4,
LS16-S10-STARRED-385,16,10,Regional,INFORMATION AND BROADCASTING,0,0,5,
LS16-S10-STARRED-384,16,10,BJP,COMMUNICATIONS,0,0,3,
