party_family,entity,n_questions,party_total,share_pct
AAP,GOVERNMENT,6,9,66.66666666666667
AAP,JAL,1,9,11.11111111111111
AAP,RIVER DEVELOPMENT,1,9,11.11111111111111
AAP,STATE,1,9,11.11111111111111
AAP,THE STATE GOVERNMENTS,1,9,11.11111111111111
AAP,THE UNION GOVERNMENT,1,9,11.11111111111111
BJP,GOVERNMENT,1961,2672,73.39071856287426
BJP,STATE,688,2672,25.748502994011975
BJP,UTTAR PRADESH,129,2672,4.827844311377246
BJP,FARMERS WELFARE कृ,106,2672,3.967065868263473
BJP,THE UNION GOVERNMENT,99,2672,3.7050898203592815
BJP,THE TABLE OF THE HOUSE,62,2672,2.320359281437126
BJP,MADHYA PRADESH,51,2672,1.908682634730539
BJP,COOPERATION & FARMERS WELFARE,50,2672,1.8712574850299402
BJP,FARMERS WELFARE DEPARTMENT OF AGRICULTURE,50,2672,1.8712574850299402
BJP,RIVER DEVELOPMENT,42,2672,1.5718562874251496
BJP,STATE/UTWISE,41,2672,1.534431137724551
BJP,JAL,40,2672,1.4970059880239521
BJP,SKILL DEVELOPMENT,36,2672,1.347305389221557
BJP,ENTREPRENEURSHIP,35,2672,1.3098802395209581
BJP,COMMERCE & INDUSTRY,33,2672,1.2350299401197604
BJP,HIGHWAYS,31,2672,1.160179640718563
BJP,THE STATE GOVERNMENTS,29,2672,1.0853293413173652
BJP,NATUROPATHY,25,2672,0.9356287425149701
BJP,YOGA,25,2672,0.9356287425149701
BJP,MAHARASHTRA,24,2672,0.8982035928143712
BJP,PRADHAN MANTRI,24,2672,0.8982035928143712
BJP,SINGH,24,2672,0.8982035928143712
BJP,STATE GOVERNMENTS,24,2672,0.8982035928143712
BJP,RIVER DEVELOPMENT & GANGA,23,2672,0.8607784431137725
BJP,COMMERCE,22,2672,0.8233532934131736
BJP,THE STATE GOVERNMENT,22,2672,0.8233532934131736
BJP,CSR,18,2672,0.6736526946107785
BJP,NALIN,17,2672,0.6362275449101796
BJP,CENTRAL,16,2672,0.5988023952095808
BJP,COMMITTEE,15,2672,0.561377245508982
BJP,PARLIAMENT,15,2672,0.561377245508982
BJP,RAMAPATI,15,2672,0.561377245508982
BJP,SHRI ANIL FIROJIYA,15,2672,0.561377245508982
BJP,NATIONAL HIGHWAYS,13,2672,0.4865269461077844
BJP,RAILWAYS,13,2672,0.4865269461077844
BJP,RAVINDRA,13,2672,0.4865269461077844
BJP,AIIMS,12,2672,0.4491017964071856
BJP,HIMACHAL PRADESH,11,2672,0.4116766467065868
BJP,NATIONAL,11,2672,0.4116766467065868
BJP,ADV,10,2672,0.37425149700598803
BJP,LPG,10,2672,0.37425149700598803
BJP,STATES/UTS,10,2672,0.37425149700598803
BJP,MICRO,9,2672,0.33682634730538924
BJP,MSP,9,2672,0.33682634730538924
BJP,SMT,9,2672,0.33682634730538924
BJP,THE SUPREME COURT,9,2672,0.33682634730538924
BJP,पशुपालन,9,2672,0.33682634730538924
BJP,MINISTRY,8,2672,0.2994011976047904
BJP,BPL,7,2672,0.2619760479041916
BJP,COVID-19,7,2672,0.2619760479041916
BJP,HOUSE,7,2672,0.2619760479041916
BJP,DEPARTMENT OF WATER RESOURCES,6,2672,0.2245508982035928
BJP,GOYAL,4,2672,0.1497005988023952
BJP,ANDHRA PRADESH,3,2672,0.1122754491017964
BJP,KRUPAL BALAJI,1,2672,0.0374251497005988
BJP,RAO,1,2672,0.0374251497005988
BJP,SRIDHAR,1,2672,0.0374251497005988
BSP,GOVERNMENT,20,31,64.51612903225806
BSP,STATE,6,31,19.35483870967742
BSP,UTTAR PRADESH,6,31,19.35483870967742
BSP,JAL,3,31,9.67741935483871
BSP,RIVER DEVELOPMENT & GANGA,3,31,9.67741935483871
BSP,COMMERCE,1,31,3.225806451612903
BSP,DEPARTMENT OF WATER RESOURCES,1,31,3.225806451612903
BSP,ENTREPRENEURSHIP,1,31,3.225806451612903
BSP,FARMERS WELFARE कृ,1,31,3.225806451612903
BSP,LPG,1,31,3.225806451612903
BSP,PARLIAMENT,1,31,3.225806451612903
BSP,PRADHAN MANTRI,1,31,3.225806451612903
BSP,SKILL DEVELOPMENT,1,31,3.225806451612903
BSP,THE STATE GOVERNMENTS,1,31,3.225806451612903
BSP,THE TABLE OF THE HOUSE,1,31,3.225806451612903
BSP,THE UNION GOVERNMENT,1,31,3.225806451612903
DMK,GOVERNMENT,52,82,63.41463414634146
DMK,STATE,17,82,20.73170731707317
DMK,THE UNION GOVERNMENT,11,82,13.414634146341463
DMK,MAHARASHTRA,3,82,3.658536585365854
DMK,STATE/UTWISE,3,82,3.658536585365854
DMK,BPL,2,82,2.4390243902439024
DMK,COMMERCE & INDUSTRY,2,82,2.4390243902439024
DMK,ENTREPRENEURSHIP,2,82,2.4390243902439024
DMK,FARMERS WELFARE कृ,2,82,2.4390243902439024
DMK,SKILL DEVELOPMENT,2,82,2.4390243902439024
DMK,AIIMS,1,82,1.2195121951219512
DMK,COOPERATION & FARMERS WELFARE,1,82,1.2195121951219512
DMK,FARMERS WELFARE DEPARTMENT OF AGRICULTURE,1,82,1.2195121951219512
DMK,JAL,1,82,1.2195121951219512
DMK,MICRO,1,82,1.2195121951219512
DMK,RIVER DEVELOPMENT & GANGA,1,82,1.2195121951219512
DMK,STATE GOVERNMENTS,1,82,1.2195121951219512
DMK,THE STATE GOVERNMENTS,1,82,1.2195121951219512
DMK,UTTAR PRADESH,1,82,1.2195121951219512
DMK,पशुपालन,1,82,1.2195121951219512
INC,GOVERNMENT,490,709,69.1114245416079
INC,STATE,153,709,21.57968970380818
INC,THE UNION GOVERNMENT,38,709,5.359661495063469
INC,FARMERS WELFARE कृ,33,709,4.65444287729196
INC,ADV,28,709,3.9492242595204514
INC,ANDHRA PRADESH,22,709,3.1029619181946404
INC,THE TABLE OF THE HOUSE,22,709,3.1029619181946404
INC,JAL,19,709,2.6798307475317347
INC,COOPERATION & FARMERS WELFARE,16,709,2.2566995768688294
INC,FARMERS WELFARE DEPARTMENT OF AGRICULTURE,16,709,2.2566995768688294
INC,SRIDHAR,15,709,2.1156558533145273
INC,THE STATE OF ANDHRA PRADESH,15,709,2.1156558533145273
INC,AIIMS,12,709,1.692524682651622
INC,RIVER DEVELOPMENT & GANGA,12,709,1.692524682651622
INC,ENTREPRENEURSHIP,10,709,1.4104372355430184
INC,SKILL DEVELOPMENT,10,709,1.4104372355430184
INC,COMMERCE,9,709,1.2693935119887165
INC,COMMERCE & INDUSTRY,9,709,1.2693935119887165
INC,STATE GOVERNMENTS,9,709,1.2693935119887165
INC,THE SUPREME COURT,9,709,1.2693935119887165
INC,MSP,8,709,1.1283497884344147
INC,RIVER DEVELOPMENT,8,709,1.1283497884344147
INC,THE STATE GOVERNMENT,7,709,0.9873060648801129
INC,THE STATE GOVERNMENTS,6,709,0.846262341325811
INC,COVID-19,5,709,0.7052186177715092
INC,PARLIAMENT,5,709,0.7052186177715092
INC,RAILWAYS,5,709,0.7052186177715092
INC,पशुपालन,5,709,0.7052186177715092
INC,CENTRAL,4,709,0.5641748942172073
INC,COMMITTEE,4,709,0.5641748942172073
INC,DEPARTMENT OF WATER RESOURCES,4,709,0.5641748942172073
INC,GOYAL,4,709,0.5641748942172073
INC,HOUSE,4,709,0.5641748942172073
INC,LPG,4,709,0.5641748942172073
INC,MINISTRY,4,709,0.5641748942172073
INC,PRADHAN MANTRI,4,709,0.5641748942172073
INC,STATE/UTWISE,4,709,0.5641748942172073
INC,BPL,3,709,0.4231311706629055
INC,HIGHWAYS,3,709,0.4231311706629055
INC,NATIONAL,3,709,0.4231311706629055
INC,SMT,3,709,0.4231311706629055
INC,STATES/UTS,3,709,0.4231311706629055
INC,UTTAR PRADESH,3,709,0.4231311706629055
INC,NATIONAL HIGHWAYS,2,709,0.2820874471086037
INC,NATUROPATHY,2,709,0.2820874471086037
INC,RAVINDRA,2,709,0.2820874471086037
INC,YOGA,2,709,0.2820874471086037
INC,HIMACHAL PRADESH,1,709,0.14104372355430184
INC,MAHARASHTRA,1,709,0.14104372355430184
INC,MICRO,1,709,0.14104372355430184
INC,NALIN,1,709,0.14104372355430184
Independent,GOVERNMENT,5,6,83.33333333333333
Independent,STATE,2,6,33.333333333333336
Independent,JAL,1,6,16.666666666666668
JDU,GOVERNMENT,109,160,68.125
JDU,STATE,31,160,19.375
JDU,MAHARASHTRA,7,160,4.375
JDU,THE TABLE OF THE HOUSE,6,160,3.75
JDU,FARMERS WELFARE कृ,5,160,3.125
JDU,THE UNION GOVERNMENT,5,160,3.125
JDU,UTTAR PRADESH,5,160,3.125
JDU,AIIMS,3,160,1.875
JDU,HIGHWAYS,3,160,1.875
JDU,JAL,3,160,1.875
JDU,NATIONAL HIGHWAYS,3,160,1.875
JDU,PRADHAN MANTRI,3,160,1.875
JDU,BPL,2,160,1.25
JDU,COOPERATION & FARMERS WELFARE,2,160,1.25
JDU,COVID-19,2,160,1.25
JDU,ENTREPRENEURSHIP,2,160,1.25
JDU,FARMERS WELFARE DEPARTMENT OF AGRICULTURE,2,160,1.25
JDU,RIVER DEVELOPMENT & GANGA,2,160,1.25
JDU,SKILL DEVELOPMENT,2,160,1.25
JDU,SMT,2,160,1.25
JDU,THE STATE GOVERNMENTS,2,160,1.25
JDU,ANDHRA PRADESH,1,160,0.625
JDU,COMMERCE,1,160,0.625
JDU,COMMERCE & INDUSTRY,1,160,0.625
JDU,CSR,1,160,0.625
JDU,DEPARTMENT OF WATER RESOURCES,1,160,0.625
JDU,GOYAL,1,160,0.625
JDU,HIMACHAL PRADESH,1,160,0.625
JDU,MADHYA PRADESH,1,160,0.625
JDU,MICRO,1,160,0.625
JDU,MINISTRY,1,160,0.625
JDU,RIVER DEVELOPMENT,1,160,0.625
JDU,STATE/UTWISE,1,160,0.625
Left,GOVERNMENT,48,75,64.0
Left,STATE,11,75,14.666666666666666
Left,THE UNION GOVERNMENT,8,75,10.666666666666666
Left,FARMERS WELFARE कृ,6,75,8.0
Left,COOPERATION & FARMERS WELFARE,5,75,6.666666666666667
Left,FARMERS WELFARE DEPARTMENT OF AGRICULTURE,4,75,5.333333333333333
Left,HOUSE,3,75,4.0
Left,THE STATE GOVERNMENTS,3,75,4.0
Left,CENTRAL,2,75,2.6666666666666665
Left,MSP,2,75,2.6666666666666665
Left,PARLIAMENT,2,75,2.6666666666666665
Left,STATE GOVERNMENTS,2,75,2.6666666666666665
Left,THE SUPREME COURT,2,75,2.6666666666666665
Left,ADV,1,75,1.3333333333333333
Left,AIIMS,1,75,1.3333333333333333
Left,HIMACHAL PRADESH,1,75,1.3333333333333333
Left,MICRO,1,75,1.3333333333333333
Left,NATUROPATHY,1,75,1.3333333333333333
Left,RIVER DEVELOPMENT,1,75,1.3333333333333333
Left,RIVER DEVELOPMENT & GANGA,1,75,1.3333333333333333
Left,STATE/UTWISE,1,75,1.3333333333333333
Left,STATES/UTS,1,75,1.3333333333333333
Left,THE TABLE OF THE HOUSE,1,75,1.3333333333333333
Left,YOGA,1,75,1.3333333333333333
RJD,GOVERNMENT,7,12,58.333333333333336
RJD,STATE,2,12,16.666666666666668
RJD,COMMERCE & INDUSTRY,1,12,8.333333333333334
RJD,COOPERATION & FARMERS WELFARE,1,12,8.333333333333334
RJD,ENTREPRENEURSHIP,1,12,8.333333333333334
RJD,FARMERS WELFARE DEPARTMENT OF AGRICULTURE,1,12,8.333333333333334
RJD,FARMERS WELFARE कृ,1,12,8.333333333333334
RJD,NATIONAL HIGHWAYS,1,12,8.333333333333334
RJD,RIVER DEVELOPMENT,1,12,8.333333333333334
RJD,SKILL DEVELOPMENT,1,12,8.333333333333334
RJD,STATE/UTWISE,1,12,8.333333333333334
RJD,THE UNION GOVERNMENT,1,12,8.333333333333334
Regional,GOVERNMENT,372,522,71.26436781609195
Regional,STATE,135,522,25.862068965517242
Regional,THE UNION GOVERNMENT,33,522,6.32183908045977
Regional,B. VINOD,24,522,4.597701149425287
Regional,THE TABLE OF THE HOUSE,17,522,3.256704980842912
Regional,COMMERCE & INDUSTRY,14,522,2.681992337164751
Regional,FARMERS WELFARE कृ,13,522,2.4904214559386975
Regional,JAL,13,522,2.4904214559386975
Regional,STATE/UTWISE,10,522,1.9157088122605364
Regional,STATE GOVERNMENTS,8,522,1.5325670498084292
Regional,THE SUPREME COURT,7,522,1.3409961685823755
Regional,COOPERATION & FARMERS WELFARE,6,522,1.1494252873563218
Regional,FARMERS WELFARE DEPARTMENT OF AGRICULTURE,6,522,1.1494252873563218
Regional,GOYAL,6,522,1.1494252873563218
Regional,THE STATE GOVERNMENTS,6,522,1.1494252873563218
Regional,COMMERCE,5,522,0.9578544061302682
Regional,COMMITTEE,5,522,0.9578544061302682
Regional,DEPARTMENT OF WATER RESOURCES,5,522,0.9578544061302682
Regional,HOUSE,5,522,0.9578544061302682
Regional,MAHARASHTRA,5,522,0.9578544061302682
Regional,NATIONAL HIGHWAYS,4,522,0.7662835249042146
Regional,PRADHAN MANTRI,4,522,0.7662835249042146
Regional,RIVER DEVELOPMENT & GANGA,4,522,0.7662835249042146
Regional,SMT,4,522,0.7662835249042146
Regional,STATES/UTS,4,522,0.7662835249042146
Regional,UTTAR PRADESH,4,522,0.7662835249042146
Regional,पशुपालन,4,522,0.7662835249042146
Regional,COVID-19,3,522,0.5747126436781609
Regional,HIGHWAYS,3,522,0.5747126436781609
Regional,MSP,3,522,0.5747126436781609
Regional,NATUROPATHY,3,522,0.5747126436781609
Regional,RAILWAYS,3,522,0.5747126436781609
Regional,RIVER DEVELOPMENT,3,522,0.5747126436781609
Regional,SINGH,3,522,0.5747126436781609
Regional,YOGA,3,522,0.5747126436781609
Regional,BPL,2,522,0.3831417624521073
Regional,CENTRAL,2,522,0.3831417624521073
Regional,CSR,2,522,0.3831417624521073
Regional,ENTREPRENEURSHIP,2,522,0.3831417624521073
Regional,NATIONAL,2,522,0.3831417624521073
Regional,PARLIAMENT,2,522,0.3831417624521073
Regional,SKILL DEVELOPMENT,2,522,0.3831417624521073
Regional,THE STATE GOVERNMENT,2,522,0.3831417624521073
Regional,ADV,1,522,0.19157088122605365
Regional,AIIMS,1,522,0.19157088122605365
Regional,ANDHRA PRADESH,1,522,0.19157088122605365
Regional,HIMACHAL PRADESH,1,522,0.19157088122605365
Regional,LPG,1,522,0.19157088122605365
Regional,MICRO,1,522,0.19157088122605365
Regional,MINISTRY,1,522,0.19157088122605365
SP,GOVERNMENT,24,30,80.0
SP,STATE,9,30,30.0
SP,UTTAR PRADESH,3,30,10.0
SP,COOPERATION & FARMERS WELFARE,2,30,6.666666666666667
SP,FARMERS WELFARE कृ,2,30,6.666666666666667
SP,RAILWAYS,2,30,6.666666666666667
SP,FARMERS WELFARE DEPARTMENT OF AGRICULTURE,1,30,3.3333333333333335
SP,NATIONAL,1,30,3.3333333333333335
SP,RIVER DEVELOPMENT,1,30,3.3333333333333335
SP,RIVER DEVELOPMENT & GANGA,1,30,3.3333333333333335
SP,SMT,1,30,3.3333333333333335
SP,THE STATE GOVERNMENTS,1,30,3.3333333333333335
SP,THE TABLE OF THE HOUSE,1,30,3.3333333333333335
Shiv Sena,GOVERNMENT,115,155,74.19354838709677
Shiv Sena,STATE,49,155,31.612903225806452
Shiv Sena,KRUPAL BALAJI,28,155,18.06451612903226
Shiv Sena,SHRI KRUPAL BALAJI,21,155,13.548387096774194
Shiv Sena,MAHARASHTRA,9,155,5.806451612903226
Shiv Sena,COMMERCE & INDUSTRY,4,155,2.5806451612903225
Shiv Sena,FARMERS WELFARE कृ,4,155,2.5806451612903225
Shiv Sena,JAL,4,155,2.5806451612903225
Shiv Sena,THE TABLE OF THE HOUSE,4,155,2.5806451612903225
Shiv Sena,THE UNION GOVERNMENT,4,155,2.5806451612903225
Shiv Sena,THE STATE GOVERNMENTS,3,155,1.935483870967742
Shiv Sena,UTTAR PRADESH,3,155,1.935483870967742
Shiv Sena,CENTRAL,2,155,1.2903225806451613
Shiv Sena,CSR,2,155,1.2903225806451613
Shiv Sena,DEPARTMENT OF WATER RESOURCES,2,155,1.2903225806451613
Shiv Sena,ENTREPRENEURSHIP,2,155,1.2903225806451613
Shiv Sena,HIGHWAYS,2,155,1.2903225806451613
Shiv Sena,NATUROPATHY,2,155,1.2903225806451613
Shiv Sena,SKILL DEVELOPMENT,2,155,1.2903225806451613
Shiv Sena,STATE GOVERNMENTS,2,155,1.2903225806451613
Shiv Sena,YOGA,2,155,1.2903225806451613
Shiv Sena,COMMERCE,1,155,0.6451612903225806
Shiv Sena,COMMITTEE,1,155,0.6451612903225806
Shiv Sena,COOPERATION & FARMERS WELFARE,1,155,0.6451612903225806
Shiv Sena,COVID-19,1,155,0.6451612903225806
Shiv Sena,FARMERS WELFARE DEPARTMENT OF AGRICULTURE,1,155,0.6451612903225806
Shiv Sena,GOYAL,1,155,0.6451612903225806
Shiv Sena,MICRO,1,155,0.6451612903225806
Shiv Sena,PARLIAMENT,1,155,0.6451612903225806
Shiv Sena,PRADHAN MANTRI,1,155,0.6451612903225806
Shiv Sena,RAILWAYS,1,155,0.6451612903225806
Shiv Sena,RIVER DEVELOPMENT,1,155,0.6451612903225806
Shiv Sena,RIVER DEVELOPMENT & GANGA,1,155,0.6451612903225806
TDP,GOVERNMENT,75,112,66.96428571428571
TDP,STATE,29,112,25.892857142857142
TDP,ANDHRA PRADESH,20,112,17.857142857142858
TDP,RAO,18,112,16.071428571428573
TDP,THE STATE OF ANDHRA PRADESH,12,112,10.714285714285714
TDP,THE UNION GOVERNMENT,7,112,6.25
TDP,FARMERS WELFARE कृ,5,112,4.464285714285714
TDP,COOPERATION & FARMERS WELFARE,4,112,3.5714285714285716
TDP,FARMERS WELFARE DEPARTMENT OF AGRICULTURE,4,112,3.5714285714285716
TDP,JAL,4,112,3.5714285714285716
TDP,NATIONAL HIGHWAYS,3,112,2.6785714285714284
TDP,AIIMS,2,112,1.7857142857142858
TDP,COMMERCE,2,112,1.7857142857142858
TDP,NATIONAL,2,112,1.7857142857142858
TDP,THE STATE GOVERNMENT,2,112,1.7857142857142858
TDP,BPL,1,112,0.8928571428571429
TDP,COMMERCE & INDUSTRY,1,112,0.8928571428571429
TDP,ENTREPRENEURSHIP,1,112,0.8928571428571429
TDP,HOUSE,1,112,0.8928571428571429
TDP,MAHARASHTRA,1,112,0.8928571428571429
TDP,MINISTRY,1,112,0.8928571428571429
TDP,MSP,1,112,0.8928571428571429
TDP,NATUROPATHY,1,112,0.8928571428571429
TDP,PRADHAN MANTRI,1,112,0.8928571428571429
TDP,RIVER DEVELOPMENT,1,112,0.8928571428571429
TDP,RIVER DEVELOPMENT & GANGA,1,112,0.8928571428571429
TDP,SKILL DEVELOPMENT,1,112,0.8928571428571429
TDP,SMT,1,112,0.8928571428571429
TDP,STATE GOVERNMENTS,1,112,0.8928571428571429
TDP,STATE/UTWISE,1,112,0.8928571428571429
TDP,STATES/UTS,1,112,0.8928571428571429
TDP,THE STATE GOVERNMENTS,1,112,0.8928571428571429
TDP,THE TABLE OF THE HOUSE,1,112,0.8928571428571429
TDP,UTTAR PRADESH,1,112,0.8928571428571429
TDP,YOGA,1,112,0.8928571428571429
TDP,पशुपालन,1,112,0.8928571428571429
