party_family,entity,n_questions,party_total,share_pct
BJP,LALLU,26,2672,0.9730538922155688
BJP,RITI,25,2672,0.9356287425149701
BJP,SONKAR,24,2672,0.8982035928143712
BJP,RANJEETA KOLI,18,2672,0.6736526946107785
BJP,KIRIT P. SOLANKI,17,2672,0.6362275449101796
BJP,SUMEDHANAND SARASWATI,16,2672,0.5988023952095808
BJP,APARAJITA SARANGI,15,2672,0.561377245508982
BJP,BHAGIRATH,13,2672,0.4865269461077844
BJP,SANGEETA KUMARI,12,2672,0.4491017964071856
BJP,BALABHADRA,11,2672,0.4116766467065868
BJP,RITA BAHUGUNA JOSHI,11,2672,0.4116766467065868
BJP,SANTOSH,11,2672,0.4116766467065868
BJP,SUNITA DUGGAL,11,2672,0.4116766467065868
BJP,KESHARI DEVI PATEL,10,2672,0.37425149700598803
BJP,KIRRON KHER,10,2672,0.37425149700598803
BJP,SUMEDHANAND SARSWATI,10,2672,0.37425149700598803
BJP,JYOTI DHURVE,9,2672,0.33682634730538924
BJP,MANSHANKAR NINAMA,8,2672,0.2994011976047904
BJP,P.C. MOHAN,8,2672,0.2994011976047904
BJP,GOKARAJU GANGA RAJU,7,2672,0.2619760479041916
BJP,DUBEY,6,2672,0.2245508982035928
BJP,HEMA MALINI,6,2672,0.2245508982035928
BJP,JANAK,6,2672,0.2245508982035928
BJP,KALIMPONG,6,2672,0.2245508982035928
BJP,KANWAR SINGH TANWAR,6,2672,0.2245508982035928
BJP,MANTRI KRISHI,6,2672,0.2245508982035928
BJP,RICHARD HAY,6,2672,0.2245508982035928
BJP,S. MUNISWAMY,6,2672,0.2245508982035928
BJP,SAGAR,6,2672,0.2245508982035928
BJP,SATNA,6,2672,0.2245508982035928
BJP,SINGH PATEL,6,2672,0.2245508982035928
BJP,UDAIPUR,6,2672,0.2245508982035928
BJP,SIDDHA,5,2672,0.18712574850299402
BJP,NAVNEET RAVI RANA,4,2672,0.1497005988023952
BJP,JKE FOYKL,3,2672,0.1122754491017964
BJP,RAIPUR,3,2672,0.1122754491017964
BJP,JYOTIRADITYA M. SCINDIA,2,2672,0.0748502994011976
BJP,KALIKESH N. SINGH DEO,2,2672,0.0748502994011976
BJP,MAUSAM NOOR,2,2672,0.0748502994011976
BJP,A. SAMPATH,1,2672,0.0374251497005988
BJP,MOHAN NAIDU,1,2672,0.0374251497005988
DMK,SIDDHA,1,82,1.2195121951219512
INC,SAJDA AHMED,26,709,3.6671368124118477
INC,M.K. RAGHAVAN,24,709,3.385049365303244
INC,JYOTIRADITYA M. SCINDIA,14,709,1.9746121297602257
INC,PRATIMA MONDAL,13,709,1.8335684062059239
INC,K. MURALEEDHARAN,10,709,1.4104372355430184
INC,MAUSAM NOOR,10,709,1.4104372355430184
INC,JAWED,6,709,0.846262341325811
INC,RAIPUR,2,709,0.2820874471086037
INC,SARMISTHA SETHI,2,709,0.2820874471086037
INC,APARAJITA SARANGI,1,709,0.14104372355430184
INC,GOKARAJU GANGA RAJU,1,709,0.14104372355430184
INC,JKE FOYKL,1,709,0.14104372355430184
JDU,NAVNEET RAVI RANA,2,160,1.25
JDU,JKE FOYKL,1,160,0.625
JDU,JYOTI DHURVE,1,160,0.625
JDU,RAIPUR,1,160,0.625
Left,A. SAMPATH,4,75,5.333333333333333
Regional,KALIKESH N. SINGH DEO,10,522,1.9157088122605364
Regional,SARMISTHA SETHI,9,522,1.7241379310344827
Regional,MANNE SRINIVAS REDDY,8,522,1.5325670498084292
Regional,RITA,8,522,1.5325670498084292
Regional,VEENA DEVI,8,522,1.5325670498084292
Regional,JKE FOYKL,1,522,0.19157088122605365
Regional,JYOTI DHURVE,1,522,0.19157088122605365
Regional,JYOTIRADITYA M. SCINDIA,1,522,0.19157088122605365
Regional,LALLU,1,522,0.19157088122605365
Regional,MOHAN NAIDU,1,522,0.19157088122605365
Regional,UDAIPUR,1,522,0.19157088122605365
Shiv Sena,LALLU,1,155,0.6451612903225806
Shiv Sena,RITA BAHUGUNA JOSHI,1,155,0.6451612903225806
TDP,MOHAN NAIDU,35,112,31.25
