doc_party_session,party_family,lok_no,session_no,pos_hindutva,pos_econ_l,pos_rural
AAP_16_11,AAP,16,11,-0.7866053286177104,0.24819380228583665,-0.3320967690375741
AAP_16_12,AAP,16,12,-0.7480265350285902,0.047003565634168465,-0.08827290133843889
AAP_16_14,AAP,16,14,-1.3349926359995992,-1.4808825884621706,-0.2697452277073688
AAP_16_5,AAP,16,5,0.7813568080102012,-0.6148310929314535,-0.6377052105427111
AAP_16_6,AAP,16,6,0.718960653406963,-0.1957414548995364,0.0016933855743895912
BJP_16_10,BJP,16,10,-0.1150469342902534,0.048905550112396355,-0.05153164906560821
BJP_16_11,BJP,16,11,-0.07943008128200446,-0.04304344278094819,-0.10448439020677837
BJP_16_12,BJP,16,12,-0.06639412630847998,0.09717550928303009,-0.17494841854707177
BJP_16_13,BJP,16,13,-0.13064630203669536,0.053158698915127214,0.029618515590275382
BJP_16_14,BJP,16,14,-0.07969802087358478,-0.036477881608035556,-0.060977661429655466
BJP_16_15,BJP,16,15,-0.01006469737840522,0.05889005250632641,0.03833725854137957
BJP_16_16,BJP,16,16,0.006301718067343666,0.16719815531742668,-0.03644527651531362
BJP_16_17,BJP,16,17,0.10292348434737343,0.05593238550336974,-0.058999005623467084
BJP_16_5,BJP,16,5,-0.26788388133344965,-0.06998965306333715,0.07083831196526351
BJP_16_6,BJP,16,6,-0.09779682527486379,-0.15803419950882205,-0.1671262437048125
BJP_16_7,BJP,16,7,-0.04820188602821309,-0.01013247249067166,-0.008809943682431511
BJP_16_8,BJP,16,8,-0.011547314137468902,-0.04412587417752681,-0.07536410441009227
BJP_16_9,BJP,16,9,-0.08869970534259514,-0.04111619009185223,-0.07105525582863047
BJP_17_1,BJP,17,1,0.06993889398331608,0.08927077772485165,-0.08455458094339295
BJP_17_10,BJP,17,10,0.2352091845138539,0.16432894494381636,-0.011661643075726258
BJP_17_11,BJP,17,11,0.18074329714218523,0.14152342992845218,0.07549270779944274
BJP_17_12,BJP,17,12,0.23778536572628578,0.0534395871504865,-0.054294584503629395
BJP_17_14,BJP,17,14,0.03553701338572473,-0.05167403720368495,-0.16474075235537503
BJP_17_15,BJP,17,15,0.04439245752880363,0.15475639161517976,-0.002404702615200641
BJP_17_2,BJP,17,2,0.1330414000327451,0.05101638636884261,-0.09371369811842535
BJP_17_3,BJP,17,3,-0.0782065859485057,0.03781636959839631,-0.025935144945287696
BJP_17_5,BJP,17,5,0.15992637543099184,0.04488781512619511,-0.03387257208613573
BJP_17_6,BJP,17,6,0.13623296931230222,0.04612091433106951,-0.06284800120805169
BJP_17_7,BJP,17,7,0.15150405733780622,0.08559394734509049,-0.0620716216439048
BJP_17_8,BJP,17,8,0.1318222089355377,-0.011173114718680937,-0.0727833715528614
BJP_17_9,BJP,17,9,0.12868029265138203,0.15065444701731812,-0.003010503811900647
BSP_17_1,BSP,17,1,-0.557742767113685,1.0044364615634538,-0.16434380890319347
BSP_17_10,BSP,17,10,0.26119105877127263,0.8212358898729475,1.2401866753036004
BSP_17_11,BSP,17,11,-0.4749854522185749,-0.33212946760126433,-0.5010962007691024
BSP_17_12,BSP,17,12,-0.022441675888732113,-0.2752570438597046,0.19862240093977618
BSP_17_14,BSP,17,14,-0.10926540628428638,0.021171765965680878,-0.192584538539436
BSP_17_15,BSP,17,15,-0.8318571336710137,0.9819374185099321,0.15984414305514197
BSP_17_3,BSP,17,3,-0.2195734704742354,-0.03482565576088314,0.3461054910879125
BSP_17_5,BSP,17,5,0.21581002421583573,0.272479831377251,-0.25629309337633327
BSP_17_6,BSP,17,6,-0.052494015014167,0.39574827616273217,0.560241964057694
BSP_17_7,BSP,17,7,-0.22481944303540488,-0.04838674233764488,-0.2260040777359445
BSP_17_8,BSP,17,8,-0.22098016095744208,0.18118312441297632,-0.19128142174104368
BSP_17_9,BSP,17,9,0.04297631352892941,0.7987485231876595,0.24938264263329593
DMK_17_1,DMK,17,1,0.3807428023647812,0.40574656289269234,-0.4205838474120945
DMK_17_11,DMK,17,11,-0.4064023048968786,-0.10709057798976505,-0.32703467983360585
DMK_17_12,DMK,17,12,0.020151394324725413,0.6466951886757197,0.06574473391163535
DMK_17_14,DMK,17,14,0.27796374328365664,-0.12901156566890973,-0.3693887775912478
DMK_17_15,DMK,17,15,-0.6736134656960376,0.16344155647867117,-0.3980199584239036
DMK_17_2,DMK,17,2,-0.11980808283433146,0.160923575577933,-0.17855649014233793
DMK_17_3,DMK,17,3,-0.23297656226991298,-0.028956397053002594,-0.20324658888049366
DMK_17_5,DMK,17,5,-0.44220614695335514,-0.29705285773406875,0.036219384955077455
