mp_name,mp_norm,party_family,constituency,religion,is_muslim,is_sikh,is_christian
BISHNU PADA RAY,BISHNU RAY,BJP,Andaman and Nicobar Islands,Other/Hindu,FALSE,FALSE,FALSE
GUMMA THANUJA RANI,GUMMA RANI,INC,Araku (ST),Other/Hindu,FALSE,FALSE,FALSE
KINJARAPU RAM MOHAN NAIDU,KINJARAPU NAIDU,TDP,Srikakulam,Other/Hindu,FALSE,FALSE,FALSE
APPALANAIDU KALISETTI,APPALANAIDU KALISETTI,TDP,Vizianagaram,Other/Hindu,FALSE,FALSE,FALSE
MATHUKUMILLI BHARAT,MATHUKUMILLI BHARAT,TDP,Visakhapatnam,Other/Hindu,FALSE,FALSE,FALSE
C. M. RAMESH,C. RAMESH,BJP,Anakapalli,Other/Hindu,FALSE,FALSE,FALSE
TANGELLA UDAY SRINIVAS,TANGELLA SRINIVAS,Regional,Kakinada,Other/Hindu,FALSE,FALSE,FALSE
GANTI HARISH MADHUR,GANTI MADHUR,TDP,Amalapuram (SC),Other/Hindu,FALSE,FALSE,FALSE
DAGGUBATI PURANDESWARI,DAGGUBATI PURANDESWARI,BJP,Rajahmundry,Other/Hindu,FALSE,FALSE,FALSE
BHUPATHI RAJU SRINIVASA VARMA,BHUPATHI VARMA,BJP,Narasapuram,Other/Hindu,FALSE,FALSE,FALSE
PUTTA MAHESH KUMAR,PUTTA KUMAR,TDP,Eluru,Other/Hindu,FALSE,FALSE,FALSE
VALLABHANENI BALASHOWRY,VALLABHANENI BALASHOWRY,Regional,Machilipatnam,Other/Hindu,FALSE,FALSE,FALSE
KESINENI SIVANATH,KESINENI SIVANATH,TDP,Vijayawada,Other/Hindu,FALSE,FALSE,FALSE
CHANDRA SEKHAR PEMMASANI,CHANDRA PEMMASANI,TDP,Guntur,Other/Hindu,FALSE,FALSE,FALSE
LAVU SRI KRISHNA DEVARAYALU,LAVU DEVARAYALU,TDP,Narasaraopet,Other/Hindu,FALSE,FALSE,FALSE
KRISHNA PRASAD TENNETI,KRISHNA TENNETI,TDP,Bapatla (SC),Other/Hindu,FALSE,FALSE,FALSE
MAGUNTA SREENIVASULU REDDY,MAGUNTA REDDY,TDP,Ongole,Other/Hindu,FALSE,FALSE,FALSE
BYREDDY SHABARI,BYREDDY SHABARI,TDP,Nandyal,Other/Hindu,FALSE,FALSE,FALSE
BASTIPATI NAGARAJU PANCHALINGALA,BASTIPATI PANCHALINGALA,TDP,Kurnool,Other/Hindu,FALSE,FALSE,FALSE
G. LAKSHMINARAYANA,G. LAKSHMINARAYANA,TDP,Anantapur,Other/Hindu,FALSE,FALSE,FALSE
B. K. PARTHASARATHI,B. PARTHASARATHI,TDP,Hindupur,Other/Hindu,FALSE,FALSE,FALSE
Y. S. AVINASH REDDY,Y. REDDY,INC,Kadapa,Other/Hindu,FALSE,FALSE,FALSE
VEMIREDDY PRABHAKAR REDDY,VEMIREDDY REDDY,TDP,Nellore,Other/Hindu,FALSE,FALSE,FALSE
MADDILA GURUMOORTHY,MADDILA GURUMOORTHY,INC,Tirupati (SC),Other/Hindu,FALSE,FALSE,FALSE
P. V. MIDHUN REDDY,P. REDDY,INC,Rajampet,Other/Hindu,FALSE,FALSE,FALSE
DAGGUMALLA PRASADA RAO,DAGGUMALLA RAO,TDP,Chittoor (SC),Other/Hindu,FALSE,FALSE,FALSE
KIREN RIJIJU,KIREN RIJIJU,BJP,Arunachal West,Other/Hindu,FALSE,FALSE,FALSE
TAPIR GAO,TAPIR GAO,BJP,Arunachal East,Other/Hindu,FALSE,FALSE,FALSE
JOYANTA BASUMATARY,JOYANTA BASUMATARY,Regional,Kokrajhar (ST),Other/Hindu,FALSE,FALSE,FALSE
RAKIBUL HUSSAIN,RAKIBUL HUSSAIN,INC,Dhubri,Other/Hindu,FALSE,FALSE,FALSE
PHANI BHUSAN CHOUDHURY,PHANI CHOUDHURY,Regional,Barpeta,Other/Hindu,FALSE,FALSE,FALSE
DILIP SAIKIA,DILIP SAIKIA,BJP,Darrang–Udalguri,Other/Hindu,FALSE,FALSE,FALSE
BIJULI KALITA MEDHI,BIJULI MEDHI,BJP,Guwahati,Other/Hindu,FALSE,FALSE,FALSE
