party_family,dim1,dim2,n,dim1_sd
BJD,-0.002936245065604102,-0.0010206721879398156,8,NA
BJP,0.006981789775718305,-9.060664172265164e-4,51,NA
BSP,-0.0028079942756267084,-0.0017719523882995458,5,NA
INC,-0.0029132144164982173,-6.162783488216158e-4,49,NA
JDU,0.002543694406912124,-8.072175180867096e-4,6,NA
Left,-0.0029684307596824634,-0.0012264403570509518,9,NA
Other,-0.002733186371425315,-7.286375050579708e-4,17,NA
RJD,-0.002995412337728838,0.02423904395178914,6,NA
SP,-0.002994167954661873,-5.965893940946106e-4,6,NA
TMC,-0.0029790096683569274,-9.077506010476975e-4,7,NA
TRS,-0.0029992973743089386,-9.341907324123756e-4,6,NA
