ministry_clean,n_General,n_SC Reserved,n_ST Reserved,share_General,share_SC Reserved,share_ST Reserved,sc_excess,st_excess
Agriculture,632,52,31,6.155644297263076,5.038759689922481,5.326460481099656,-1.1168846073405954,-0.82918381616342
Civil Aviation,336,29,12,3.272621018798091,2.810077519379845,2.0618556701030926,-0.462543499418246,-1.2107653486949985
Commerce,254,21,16,2.4739456511152236,2.0348837209302326,2.7491408934707904,-0.43906193018499096,0.2751952423555668
Culture,154,27,11,1.4999513002824583,2.616279069767442,1.8900343642611683,1.1163277694849838,0.39008306397871007
Education,539,52,16,5.249829550988604,5.038759689922481,2.7491408934707904,-0.21106986106612347,-2.5006886575178138
"Environment,  Forests And Climate Change",289,27,18,2.8148436739066915,2.616279069767442,3.0927835051546393,-0.19856460413924948,0.27793983124794774
Finance,527,43,27,5.132950228888673,4.166666666666667,4.639175257731959,-0.9662835622220056,-0.4937749711567134
Food & Consumer,233,17,14,2.269406837440343,1.6472868217054264,2.4054982817869415,-0.6221200157349165,0.1360914443465986
Health,680,59,35,6.623161585662803,5.717054263565892,6.013745704467354,-0.9061073220969114,-0.6094158811954493
Home Affairs,286,31,10,2.785623843381708,3.003875968992248,1.7182130584192439,0.21825212561053986,-1.0674107849624643
Jal Shakti,252,25,23,2.4544657640985683,2.4224806201550386,3.9518900343642613,-0.03198514394352969,1.497424270265693
New And Renewable Energy,137,14,14,1.3343722606408883,1.3565891472868217,2.4054982817869415,0.022216886645933354,1.0711260211460532
Petroleum,194,28,12,1.8895490406155644,2.7131782945736433,2.0618556701030926,0.823629253958079,0.17230662948752817
Railways,626,73,36,6.09720463621311,7.073643410852713,6.185567010309279,0.976438774639603,0.08836237409616832
Road Transport,366,41,20,3.5648193240479205,3.9728682170542635,3.4364261168384878,0.40804889300634306,-0.1283932072094327
Rural Development,293,22,15,2.853803447940002,2.131782945736434,2.577319587628866,-0.7220205022035682,-0.2764838603111359
Tribal Affairs,91,13,29,0.8863348592578163,1.2596899224806202,4.982817869415808,0.3733550632228039,4.096483010157991
Urban Development,217,21,14,2.1135677413071003,2.0348837209302326,2.4054982817869415,-0.07868402037686772,0.2919305404798411
