id,lok_no,session_no,party_family,ministry,sent_neg,sent_pos,sent_neu,sent_compound,sent_label
LS16-S10-STARRED-440,16,10,INC,HEALTH AND FAMILY WELFARE,0.035,0.033,0.932,-0.0516,adversarial
LS16-S10-STARRED-439,16,10,BJP,DEFENCE,0.0215,0.0265,0.952,-0.00865,neutral
LS16-S10-STARRED-438,16,10,BJP,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)",0.0,0.0275,0.9724999999999999,0.3592,positive
LS16-S10-STARRED-436,16,10,BJP,FINANCE,0.10733333333333334,0.02033333333333333,0.8723333333333333,-0.43283333333333335,adversarial
LS16-S10-STARRED-434,16,10,TDP,FINANCE,0.04833333333333333,0.02,0.9316666666666666,0.1054666666666667,positive
LS16-S10-STARRED-428,16,10,BJP,DEFENCE,0.0,0.124,0.876,0.8842,positive
LS16-S10-STARRED-427,16,10,BJP,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)",0.05,0.067,0.883,0.0258,neutral
LS16-S10-STARRED-425,16,10,BJP,DEFENCE,0.0,0.045,0.955,0.6166,positive
LS16-S10-STARRED-416,16,10,BJP,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",0.0,0.035,0.965,0.4404,positive
LS16-S10-STARRED-415,16,10,TDP,SHIPPING,0.0,0.067,0.933,0.8074,positive
LS16-S10-STARRED-409,16,10,BJP,TEXTILES,0.03,0.132,0.838,0.8689,positive
LS16-S10-STARRED-406,16,10,BJP,PANCHAYATI RAJ,0.123,0.0225,0.8545,0.12685000000000002,positive
LS16-S10-STARRED-405,16,10,BJP,SHIPPING,0.0,0.05,0.95,0.7184,positive
LS16-S10-STARRED-404,16,10,TDP,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",0.0,0.033,0.967,0.4404,positive
LS16-S10-STARRED-396,16,10,BJP,ATOMIC ENERGY,0.0,0.074,0.926,0.7269,positive
LS16-S10-STARRED-395,16,10,Shiv Sena,RAILWAYS,0.0875,0.066,0.8465,0.17255,positive
LS16-S10-STARRED-394,16,10,BJP,DEVELOPMENT OF NORTH EASTERN REGION,0.067,0.082,0.852,0.3818,positive
LS16-S10-STARRED-392,16,10,BJP,LAW AND JUSTICE,0.0,0.148,0.852,0.9597,positive
LS16-S10-STARRED-391,16,10,BJP,RAILWAYS,0.018666666666666668,0.015,0.9666666666666667,-0.03423333333333333,neutral
LS16-S10-STARRED-388,16,10,BJP,PLANNING,0.068,0.061,0.871,-0.3885,adversarial
LS16-S10-STARRED-386,16,10,Shiv Sena,ELECTRONICS AND INFORMATION TECHNOLOGY,0.12333333333333334,0.011333333333333334,0.8653333333333334,-0.002066666666666661,neutral
LS16-S10-STARRED-385,16,10,Regional,INFORMATION AND BROADCASTING,0.038,0.032,0.929,-0.128,adversarial
LS16-S10-STARRED-384,16,10,BJP,COMMUNICATIONS,0.057,0.077,0.866,0.296,positive
LS16-S10-STARRED-383,16,10,BJP,MINORITY AFFAIRS,0.0,0.044,0.956,0.5267,positive
LS16-S10-STARRED-381,16,10,BJP,EXTERNAL AFFAIRS,0.0,0.101,0.899,0.6908,positive
LS16-S10-STARRED-379,16,10,BJP,HUMAN RESOURCE DEVELOPMENT,0.0125,0.0165,0.971,0.0129,neutral
LS16-S10-STARRED-371,16,10,BJP,CULTURE,0.0,0.083,0.917,0.7003,positive
LS16-S10-STARRED-368,16,10,BJP,TOURISM,0.0,0.031,0.969,0.401,positive
LS16-S10-STARRED-366,16,10,BJP,HUMAN RESOURCE DEVELOPMENT,0.076,0.035,0.889,-0.5106,adversarial
LS16-S10-STARRED-363,16,10,BJP,CULTURE,0.0,0.03,0.97,0.4404,positive
LS16-S10-STARRED-362,16,10,BJP,TRIBAL AFFAIRS,0.0,0.101,0.899,0.8316,positive
LS16-S10-STARRED-359,16,10,Left,HEALTH AND FAMILY WELFARE,0.024,0.037,0.938,0.25,positive
LS16-S10-STARRED-357,16,10,Regional,FINANCE,0.12766666666666668,0.023666666666666666,0.8489999999999999,0.122,positive
LS16-S10-STARRED-354,16,10,BJP,DEFENCE,0.0,0.048666666666666664,0.9513333333333334,0.3128666666666667,positive
LS16-S10-STARRED-353,16,10,BJP,FINANCE,0.023,0.109,0.868,0.8957,positive
LS16-S10-STARRED-349,16,10,BJP,FINANCE,0.08,0.03,0.89,-0.7096,adversarial
LS16-S10-STARRED-344,16,10,BJP,FINANCE,0.14733333333333334,0.011333333333333334,0.8409999999999999,-0.3486666666666667,adversarial
LS16-S10-STARRED-343,16,10,BJP,DEFENCE,0.0265,0.0785,0.895,0.1668,positive
LS16-S10-STARRED-340,16,10,BJP,CIVIL AVIATION,0.059,0.0925,0.8485,0.29495,positive
LS16-S10-STARRED-339,16,10,Regional,TEXTILES,0.0,0.127,0.873,0.9022,positive
LS16-S10-STARRED-338,16,10,BJP,TEXTILES,0.0,0.055,0.945,0.5423,positive
LS16-S10-STARRED-336,16,10,BJP,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",0.0,0.078,0.922,0.7845,positive
LS16-S10-STARRED-335,16,10,BJP,ROAD TRANSPORT AND HIGHWAYS,0.078,0.049,0.874,-0.3182,adversarial
LS16-S10-STARRED-331,16,10,SP,MINES,0.0,0.1365,0.8634999999999999,0.7372,positive
