topic,type,term
1,prob,reason
1,prob,wise
1,prob,propos
1,prob,therefor
1,prob,jadhav
1,prob,year
1,prob,develop
1,prob,along
1,prob,last
1,prob,ministri
1,frex,jadhav
1,frex,balaji
1,frex,krupal
1,frex,tuman
1,frex,western
1,frex,sanjay
1,frex,prataprao
1,frex,eknath
1,frex,shind
1,frex,shrikant
1,lift,western
1,lift,kanimozhi
1,lift,karunanidhi
1,lift,balaji
1,lift,krupal
1,lift,tuman
1,lift,haribhau
1,lift,gnanathiraviam
1,lift,jadhav
1,lift,ravikumar
1,score,western
1,score,balaji
1,score,krupal
1,score,tuman
1,score,jadhav
1,score,haribhau
1,score,ravikumar
1,score,prataprao
1,score,parbhani
1,score,eknath
2,prob,sport
2,prob,distribut
2,prob,foodgrain
2,prob,star
2,prob,develop
2,prob,grant
2,prob,propos
2,prob,year
2,prob,pradesh
2,prob,last
2,frex,foodgrain
2,frex,eas
2,frex,sport
2,frex,deficit
2,frex,ent
2,frex,girish
2,frex,jute
2,frex,malook
2,frex,nagar
2,frex,upto
2,lift,deficit
2,lift,fazlur
2,lift,haji
2,lift,rehman
2,lift,malook
2,lift,girish
2,lift,ent
2,lift,sri
2,lift,reg
2,lift,eas
2,score,deficit
2,score,girish
2,score,ent
2,score,malook
2,score,sport
2,score,eas
2,score,jute
2,score,fazlur
2,score,haji
2,score,rehman
3,prob,0.00
3,prob,court
3,prob,fund
3,prob,annexur
3,prob,commiss
3,prob,wise
3,prob,elect
3,prob,district
3,prob,year
3,prob,skill
3,frex,annexur
3,frex,0.00
3,frex,settl
3,frex,mou
3,frex,judg
3,frex,court
3,frex,procur
3,frex,strength
3,frex,skill
3,frex,refer
3,lift,settl
3,lift,proceed
3,lift,nrdwp
3,lift,moong
3,lift,0.81
3,lift,strength
3,lift,mou
3,lift,judg
3,lift,mous
3,lift,either
3,score,0.00
3,score,settl
3,score,elect
3,score,annexur
3,score,judg
3,score,elector
3,score,mou
3,score,proceed
3,score,nrdwp
3,score,0.03
4,prob,propos
4,prob,reason
4,prob,wise
4,prob,develop
4,prob,lok
4,prob,ministri
4,prob,sabha
4,prob,therefor
4,prob,star
4,prob,answer
4,frex,airport
4,frex,aviat
4,frex,civil
4,frex,pmay
4,frex,religi
4,frex,kochi
4,frex,agreement
4,frex,hous
4,frex,bilater
4,frex,forest
4,lift,bilater
4,lift,influenc
4,lift,sail
4,lift,vand
4,lift,pond
4,lift,kochi
4,lift,logist
4,lift,titl
4,lift,collater
4,lift,divert
4,score,bilater
4,score,airport
4,score,kochi
4,score,vand
4,score,sail
4,score,influenc
4,score,pmay
4,score,majumdar
4,score,sukanta
4,score,cow
5,prob,reason
5,prob,propos
5,prob,therefor
5,prob,ministri
5,prob,wise
5,prob,answer
5,prob,star
5,prob,sabha
5,prob,lok
5,prob,project
5,frex,sajda
5,frex,ahm
5,frex,reddi
5,frex,kerala
5,frex,andhra
5,frex,covid
5,frex,y.s
5,frex,avinash
5,frex,adv
5,frex,baij
5,lift,articl
5,lift,brahmananda
5,lift,pocha
5,lift,bordoloi
5,lift,goddeti
5,lift,madhavi
5,lift,pradyut
5,lift,rangaiah
5,lift,talari
5,lift,bellana
5,score,articl
5,score,sajda
5,score,ahm
5,score,satyavathi
5,score,venkata
5,score,khalequ
5,score,anuradha
5,score,chinta
5,score,jal
5,score,eden
6,prob,sugar
6,prob,farmer
6,prob,wise
6,prob,due
6,prob,propos
6,prob,last
6,prob,year
6,prob,minor
6,prob,mill
6,prob,includ
6,frex,sugar
6,frex,mill
6,frex,season
6,frex,minor
6,frex,cane
6,frex,sugarcan
6,frex,gst
6,frex,preliminari
6,frex,unemploy
6,frex,medium
6,lift,preliminari
6,lift,cane
6,lift,sugar
6,lift,season
6,lift,liquid
6,lift,dth
6,lift,mohammad
6,lift,ouestion
6,lift,mill
6,lift,soft
6,score,sugar
6,score,preliminari
6,score,mill
6,score,cane
6,score,sugarcan
6,score,season
6,score,shashi
6,score,tharoor
6,score,gst
6,score,raghavan
7,prob,propos
7,prob,along
7,prob,reason
7,prob,wise
7,prob,farmer
7,prob,therefor
7,prob,ministri
7,prob,star
7,prob,lok
7,prob,sabha
7,frex,rajesh
7,frex,petroleum
7,frex,gaurav
7,frex,gogoi
7,frex,cylind
7,frex,saugata
7,frex,jayadevan
7,frex,roy
7,frex,gas
7,frex,kharg
7,lift,cylind
7,lift,m.b
7,lift,kharg
7,lift,mallikarjun
7,lift,jayadevan
7,lift,meinya
7,lift,thokchom
7,lift,stoppag
7,lift,saugata
7,lift,n.k
7,score,cylind
7,score,kharg
7,score,stoppag
7,score,mallikarjun
7,score,saugata
7,score,jayadevan
7,score,shashi
7,score,tharoor
7,score,gaurav
7,score,trivedi
8,prob,wise
8,prob,propos
8,prob,includ
8,prob,farmer
8,prob,develop
8,prob,ministri
8,prob,district
8,prob,along
8,prob,fund
8,prob,year
8,frex,smart
8,frex,youth
8,frex,rajasthan
8,frex,husbandri
8,frex,pmksi
8,frex,jaskaur
8,frex,uttar
8,frex,मंी
8,frex,constitu
8,frex,parliamentari
8,lift,smart
8,lift,fame
8,lift,kalimpong
8,lift,stadium
8,lift,darjeel
8,lift,bista
8,lift,shahjahanpur
8,lift,fatal
8,lift,subrat
8,lift,grameen
8,score,smart
8,score,jal
8,score,kalimpong
8,score,jaskaur
8,score,darjeel
8,score,balaghat
8,score,csr
8,score,shakti
8,score,pmksi
8,score,covid
9,prob,wise
9,prob,along
9,prob,propos
9,prob,year
9,prob,last
9,prob,reason
9,prob,ministri
9,prob,kumar
9,prob,develop
9,prob,state
9,frex,vinod
9,frex,asaduddin
9,frex,owaisi
9,frex,pinaki
9,frex,paid
9,frex,prem
9,frex,chautala
9,frex,majhi
9,frex,balabhadra
9,frex,royalti
9,lift,attain
9,lift,tarai
9,lift,vishweshwar
9,lift,biswa
9,lift,radheshyam
9,lift,boora
9,lift,goud
9,lift,narsaiah
9,lift,samal
9,lift,balabhadra
9,score,attain
9,score,balabhadra
9,score,tarai
9,score,chautala
9,score,jena
9,score,rabindra
9,score,pinaki
9,score,prem
9,score,biswa
9,score,royalti
10,prob,along
10,prob,wise
10,prob,propos
10,prob,reason
10,prob,therefor
10,prob,year
10,prob,last
10,prob,ministri
10,prob,welfar
10,prob,develop
10,frex,lal
10,frex,medic
10,frex,ram
10,frex,complaint
10,frex,sanit
10,frex,drink
10,frex,devic
10,frex,forest
10,frex,laxmi
10,frex,polic
10,lift,rescu
10,lift,simha
10,lift,prathap
10,lift,vikram
10,lift,anju
10,lift,bala
10,lift,usendi
10,lift,hay
10,lift,richard
10,lift,tomato
10,score,rescu
10,score,baker
10,score,laxmi
10,score,kataria
10,score,rattan
10,score,georg
10,score,hay
10,score,richard
10,score,banshil
10,score,ããè
11,prob,0.00
11,prob,pradesh
11,prob,offic
11,prob,wise
11,prob,state
11,prob,develop
11,prob,research
11,prob,claim
11,prob,includ
11,prob,fund
11,frex,claim
11,frex,hindi
11,frex,director
11,frex,meal
11,frex,day
11,frex,cook
11,frex,offic
11,frex,0.00
11,frex,mid
11,frex,ltd
11,lift,plus
11,lift,mid
11,lift,meal
11,lift,coalfield
11,lift,cook
11,lift,hindi
11,lift,gail
11,lift,director
11,lift,technician
11,lift,attend
11,score,0.00
11,score,cook
11,score,mid
11,score,claim
11,score,meal
11,score,hindi
11,score,plus
11,score,sugarcan
11,score,coalfield
11,score,annexur
12,prob,0.00
12,prob,elect
12,prob,sector
12,prob,commiss
12,prob,group
12,prob,polit
12,prob,elector
12,prob,sub
12,prob,law
12,prob,recommend
12,frex,polit
12,frex,elector
12,frex,sub
12,frex,elect
12,frex,parti
12,frex,recommend
12,frex,group
12,frex,vaccin
12,frex,commiss
12,frex,gujarat
12,lift,geetha
12,lift,polit
12,lift,assembl
12,lift,elector
12,lift,vote
12,lift,parti
12,lift,elect
12,lift,voter
12,lift,gowda
12,lift,swaminathan
12,score,0.00
12,score,elect
12,score,polit
12,score,elector
12,score,geetha
12,score,parti
12,score,sub
12,score,vote
12,score,vaccin
12,score,assembl
13,prob,wise
13,prob,propos
13,prob,year
13,prob,last
13,prob,district
13,prob,develop
13,prob,ministri
13,prob,includ
13,prob,lok
13,prob,sabha
13,frex,cold
13,frex,dairi
13,frex,storag
13,frex,ayush
13,frex,parliamentari
13,frex,constitu
13,frex,husbandri
13,frex,ravi
13,frex,anim
13,frex,fisheri
13,lift,cold
13,lift,navneet
13,lift,rana
13,lift,duggal
13,lift,sunita
13,lift,rajya
13,lift,debasre
13,lift,tobacco
13,lift,ravi
13,lift,sonipat
13,score,cold
13,score,sugar
13,score,bhagalpur
13,score,parliamentari
13,score,constitu
13,score,kishan
13,score,chatterje
13,score,sonipat
13,score,mill
13,score,rawat
14,prob,propos
14,prob,bihar
14,prob,district
14,prob,wise
14,prob,ministri
14,prob,project
14,prob,kumar
14,prob,water
14,prob,year
14,prob,provid
14,frex,bihar
14,frex,jal
14,frex,shakti
14,frex,suman
14,frex,alok
14,frex,nurs
14,frex,tamil
14,frex,karnataka
14,frex,dam
14,frex,river
14,lift,jeevan
14,lift,suman
14,lift,alok
14,lift,kamait
14,lift,gopalganj
14,lift,pintu
14,lift,dileshwar
14,lift,goswami
14,lift,t.r
14,lift,chandeshwar
14,score,jeevan
14,score,jal
14,score,shakti
14,score,suman
14,score,kamait
14,score,dileshwar
14,score,alok
14,score,t.r
14,score,paarivendhar
14,score,pintu
15,prob,wise
15,prob,along
15,prob,propos
15,prob,year
15,prob,last
15,prob,develop
15,prob,includ
15,prob,three
15,prob,various
15,prob,fund
15,frex,subsidi
15,frex,correct
15,frex,thereon
15,frex,defenc
15,frex,norm
15,frex,mode
15,frex,क्या
15,frex,modernis
15,frex,vksj
15,frex,ekey
15,lift,cargo
15,lift,पोतप
15,lift,रवहनमंत्
15,lift,drdo
15,lift,ashwini
15,lift,gokaraju
15,lift,festiv
15,lift,bulk
15,lift,regularis
15,lift,द्यग
15,score,cargo
15,score,क्या
15,score,festiv
15,score,csr
15,score,pandey
15,score,राज्य
15,score,dhotr
15,score,drdo
15,score,satyap
15,score,lakhanp
16,prob,wise
16,prob,along
16,prob,reason
16,prob,ministri
16,prob,propos
16,prob,develop
16,prob,year
16,prob,therefor
16,prob,last
16,prob,star
16,frex,ganga
16,frex,narayan
16,frex,highway
16,frex,ram
16,frex,rejuven
16,frex,river
16,frex,tahal
16,frex,prison
16,frex,audit
16,frex,choudhari
16,lift,yamuna
16,lift,jai
16,lift,unserv
16,lift,nabard
16,lift,somaiya
16,lift,contractor
16,lift,narayan
16,lift,accur
16,lift,crash
16,lift,manshankar
16,score,yamuna
16,score,tahal
16,score,narayan
16,score,prison
16,score,jai
16,score,laxmi
16,score,manshankar
16,score,ninama
16,score,somaiya
16,score,choudhari
17,prob,propos
17,prob,wise
17,prob,fund
17,prob,year
17,prob,odisha
17,prob,includ
17,prob,last
17,prob,reason
17,prob,develop
17,prob,industri
17,frex,odisha
17,frex,textil
17,frex,ramesh
17,frex,particular
17,frex,chandra
17,frex,sekhar
17,frex,वस्त्र
17,frex,rice
17,frex,child
17,frex,nageswara
17,lift,daili
17,lift,manjulata
17,lift,samanta
17,lift,achyutananda
17,lift,गोयल
17,lift,पीयूष
17,lift,mohanti
17,lift,badruddin
17,lift,mallick
17,lift,rajashre
17,score,daili
17,score,mohanti
17,score,anubhav
17,score,nageswara
17,score,nama
17,score,samanta
17,score,achyutananda
17,score,jal
17,score,sekhar
17,score,bhujal
18,prob,wise
18,prob,propos
18,prob,along
18,prob,reason
18,prob,ministri
18,prob,fund
18,prob,year
18,prob,develop
18,prob,therefor
18,prob,sabha
18,frex,steel
18,frex,solar
18,frex,tourism
18,frex,green
18,frex,janardan
18,frex,premjibhai
18,frex,sainik
18,frex,rawat
18,frex,highway
18,frex,cross
18,lift,hotel
18,lift,rebati
18,lift,sainik
18,lift,premjibhai
18,lift,cyclon
18,lift,chcs
18,lift,योगक
18,lift,वान
18,lift,prioritis
18,lift,sadashiv
18,score,hotel
18,score,premjibhai
18,score,rawat
18,score,cyclon
18,score,sainik
18,score,rebati
18,score,steel
18,score,nihal
18,score,jal
18,score,firojiya
19,prob,last
19,prob,year
19,prob,aiim
19,prob,fund
19,prob,nil
19,prob,indian
19,prob,propos
19,prob,three
19,prob,wise
19,prob,alloc
19,frex,nil
19,frex,aiim
19,frex,pace
19,frex,kerosen
19,frex,puls
19,frex,rayapati
19,frex,sambasiva
19,frex,complex
19,frex,oversea
19,frex,rao
19,lift,pace
19,lift,rayapati
19,lift,sambasiva
19,lift,nil
19,lift,murali
19,lift,kerosen
19,lift,opd
19,lift,sai
19,lift,aiim
19,lift,residenti
19,score,pace
19,score,nil
19,score,rayapati
19,score,sambasiva
19,score,aiim
19,score,kerosen
19,score,murali
19,score,rao
19,score,puls
19,score,athlet
20,prob,develop
20,prob,along
20,prob,propos
20,prob,railway
20,prob,reason
20,prob,univers
20,prob,wise
20,prob,therefor
20,prob,ministri
20,prob,like
20,frex,ugc
20,frex,dharmendra
20,frex,univers
20,frex,yadav
20,frex,channel
20,frex,doordarshan
20,frex,human
20,frex,recruit
20,frex,tribun
20,frex,rail
20,lift,ugc
20,lift,adhalrao
20,lift,shivajirao
20,lift,sriram
20,lift,chancellor
20,lift,imtiaz
20,lift,jaleel
20,lift,dharmendra
20,lift,car
20,lift,bamboo
20,score,ugc
20,score,dharmendra
20,score,univers
20,score,adhalrao
20,score,shivajirao
20,score,nrc
20,score,exam
20,score,imtiaz
20,score,jaleel
20,score,nageswara
