ministry_clean,sule_n,sule_share,all_n,all_share,excess,excess_pct
Agriculture,9,0.11538461538461539,715,0.06018011951855905,0.055204495866056344,5.5204495866056345
Education,6,0.07692307692307693,607,0.051089975591280194,0.025833101331796733,2.5833101331796735
Railways,6,0.07692307692307693,735,0.06186347950509216,0.015059597417984766,1.5059597417984767
Finance,4,0.05128205128205128,597,0.05024829559801364,0.0010337556840376433,0.10337556840376433
Home Affairs,4,0.05128205128205128,327,0.027522935779816515,0.023759115502234765,2.3759115502234764
Commerce,3,0.038461538461538464,291,0.0244928878040569,0.013968650657481565,1.3968650657481565
Communications,3,0.038461538461538464,197,0.016581095867351233,0.02188044259418723,2.188044259418723
Health,3,0.038461538461538464,774,0.06514603147883175,-0.02668449301729328,-2.668449301729328
Road Transport,3,0.038461538461538464,427,0.035939735712482115,0.0025218027490563483,0.2521802749056348
Social Justice,3,0.038461538461538464,167,0.014056055887551553,0.024405482573986913,2.4405482573986914
Coal,2,0.02564102564102564,141,0.011867687905058497,0.013773337735967143,1.3773337735967144
External Affairs,2,0.02564102564102564,171,0.014392727884858177,0.011248297756167463,1.1248297756167462
Labour,2,0.02564102564102564,252,0.021210335830317312,0.004430689810708328,0.4430689810708328
Power,2,0.02564102564102564,173,0.014561063883511489,0.011079961757514151,1.1079961757514152
Rural Development,2,0.02564102564102564,330,0.027775439777796482,-0.0021344141367708423,-0.21344141367708425
Tribal Affairs,2,0.02564102564102564,133,0.01119434391044525,0.01444668173058039,1.444668173058039
Urban Development,2,0.02564102564102564,252,0.021210335830317312,0.004430689810708328,0.4430689810708328
Women & Child,2,0.02564102564102564,229,0.019274471845804227,0.0063665537952214135,0.6366553795221414
Atomic Energy,1,0.01282051282051282,72,0.006060095951519232,0.006760416868993588,0.6760416868993588
Civil Aviation,1,0.01282051282051282,377,0.031731335746149315,-0.018910822925636495,-1.8910822925636495
Communications And Information Technology,1,0.01282051282051282,53,0.004460903964312768,0.008359608856200053,0.8359608856200053
"Consumer Affairs, Food And Public Distribution",1,0.01282051282051282,264,0.022220351822237184,-0.009399839001724364,-0.9399839001724364
Drinking Water And Sanitation,1,0.01282051282051282,77,0.006480935948152512,0.006339576872360308,0.6339576872360307
Heavy Industries And Public Enterprises,1,0.01282051282051282,31,0.002609207979126336,0.010211304841386484,1.0211304841386484
Housing And Urban  Poverty Alleviation,1,0.01282051282051282,34,0.002861711977106304,0.009958800843406515,0.9958800843406515
I&B,1,0.01282051282051282,133,0.01119434391044525,0.0016261689100675707,0.16261689100675708
Jal Shakti,1,0.01282051282051282,300,0.0252503997979968,-0.01242988697748398,-1.242988697748398
Law And Justice,1,0.01282051282051282,172,0.014476895884184833,-0.001656383063672013,-0.16563830636720128
"Micro,Small And Medium Enterprises",1,0.01282051282051282,99,0.008332631933338944,0.004487880887173876,0.44878808871738757
Minority Affairs,1,0.01282051282051282,94,0.007911791936705664,0.004908720883807156,0.4908720883807156
New And Renewable Energy,1,0.01282051282051282,165,0.013887719888898241,-0.0010672070683854212,-0.10672070683854212
"Personnel, Public Grievances And Pensions",1,0.01282051282051282,46,0.0038717279690261763,0.008948784851486643,0.8948784851486643
Petroleum,1,0.01282051282051282,234,0.019695311842437505,-0.006874799021924685,-0.6874799021924685
Shipping,1,0.01282051282051282,51,0.004292567965659457,0.008527944854853364,0.8527944854853364
Skill Development And Entrepreneurship,1,0.01282051282051282,156,0.013130207894958336,-3.096950744455162e-4,-0.030969507444551618
Youth Affairs And Sports,1,0.01282051282051282,177,0.014897735880818113,-0.0020772230603052933,-0.20772230603052932
